Finchtyp,mainfuel,watersys,tank,count,countsamp,conf,EnergyType
No Answer,coal,dedicated boiler,Tank with Immersion Heater,4038,2,2019,ZZ
No Answer,coal,electric immersion heater,Tank with Immersion Heater,6035,3,2011.666667,ZZ
No Answer,electricity,dedicated boiler,Tank with Immersion Heater,10018,6,1669.666667,ZZ
No Answer,electricity,electric immersion heater,No Tank,49288,14,3520.571429,ZZ
No Answer,electricity,electric immersion heater,Tank with Immersion Heater,103368,43,2403.906977,ZZ
No Answer,electricity,instantaneous,No Tank,27163,10,2716.3,ZZ
No Answer,gas (mains),electric immersion heater,No Tank,727,1,727,ZZ
No Answer,gas (mains),electric immersion heater,Tank with Immersion Heater,4402,2,2201,ZZ
No Answer,gas (mains),instantaneous,No Tank,4318,1,4318,ZZ
No Answer,gas (other),electric immersion heater,Tank with Immersion Heater,2408,1,2408,ZZ
