"","archcode","count","countsamp","conf"
"697","FF-C-D-D-B",1750,1,1750
"698","G-A-A-A-A",50248,35,1435.65714285714
"699","G-A-A-B-A",3006,3,1002
"700","G-A-A-C-A",8559,3,2853
"701","G-A-A-D-A",18946,13,1457.38461538462
"702","G-A-A-F-A",10776,3,3592
"703","G-A-A-G-A",6692,2,3346
"704","G-A-A-K-A",1272,1,1272
"705","G-A-A-L-A",2541,1,2541
"706","G-A-B-A-A",190844,93,2052.08602150538
"707","G-A-B-A-B",6731,5,1346.2
"708","G-A-B-B-A",26080,9,2897.77777777778
"709","G-A-B-B-B",4136,1,4136
"710","G-A-B-C-A",12109,5,2421.8
"711","G-A-B-D-A",48627,24,2026.125
"712","G-A-B-F-A",13755,6,2292.5
"713","G-A-B-G-A",7422,4,1855.5
"714","G-A-B-H-A",7892,3,2630.66666666667
"715","G-A-B-K-A",12101,6,2016.83333333333
"716","G-A-B-L-A",686,1,686
"717","G-A-C-G-A",992,1,992
"718","G-A-D-A-A",17759,8,2219.875
"719","G-A-D-D-A",1857,1,1857
"720","G-A-D-F-A",5153,1,5153
"721","G-A-D-K-A",4237,1,4237
"722","G-C-A-A-A",4518,1,4518
"723","G-C-A-A-B",1404,2,702
"724","G-C-A-D-A",1378,1,1378
"725","G-C-A-D-B",1196,1,1196
"726","G-C-A-F-A",1575,1,1575
"727","G-C-B-A-B",1409,1,1409
"728","G-C-B-B-B",4502,1,4502
"729","G-C-B-D-A",1069,1,1069
"730","G-C-B-D-B",3347,2,1673.5
"731","GB-A-A-A-A",16052,5,3210.4
"732","GB-A-A-G-A",1857,1,1857
"733","GB-A-B-A-A",256939,102,2519.00980392157
"734","GB-A-B-A-B",12282,10,1228.2
"735","GB-A-B-B-A",20986,10,2098.6
"736","GB-A-B-C-A",13553,8,1694.125
"737","GB-A-B-D-A",36786,20,1839.3
"738","GB-A-B-D-B",7766,1,7766
"739","GB-A-B-F-A",15533,11,1412.09090909091
"740","GB-A-B-F-B",1304,1,1304
"741","GB-A-B-G-A",6787,6,1131.16666666667
"742","GB-A-B-H-A",3334,1,3334
"743","GB-A-B-K-A",26920,8,3365
"744","GB-A-B-L-A",810,1,810
"745","GB-A-D-A-A",6166,5,1233.2
"746","GB-A-D-G-A",3417,1,3417
"747","GB-C-B-A-B",14804,4,3701
"748","GB-C-B-C-B",898,1,898
"749","GB-C-B-D-A",12969,3,4323
"750","GB-C-B-D-B",3784,1,3784
"751","H-A-A-A-A",169184,152,1113.05263157895
"752","H-A-A-A-B",4376,4,1094
"753","H-A-A-B-A",37758,26,1452.23076923077
"754","H-A-A-C-A",15389,14,1099.21428571429
"755","H-A-A-C-B",1550,1,1550
"756","H-A-A-D-A",56491,46,1228.0652173913
"757","H-A-A-E-A",1099,1,1099
"758","H-A-A-F-A",12319,5,2463.8
"759","H-A-A-G-A",32080,38,844.210526315789
"760","H-A-A-G-B",861,1,861
"761","H-A-A-H-A",3882,4,970.5
"762","H-A-A-K-A",9168,7,1309.71428571429
"763","H-A-A-L-A",882,1,882
"764","H-A-B-A-A",183654,101,1818.35643564356
"765","H-A-B-A-B",394,1,394
"766","H-A-B-B-A",11803,7,1686.14285714286
"767","H-A-B-C-A",12055,9,1339.44444444444
"768","H-A-B-D-A",5638,4,1409.5
"769","H-A-B-D-B",1359,1,1359
"770","H-A-B-F-A",1962,1,1962
"771","H-A-B-G-A",10785,9,1198.33333333333
"772","H-A-B-G-B",5933,1,5933
"773","H-A-B-K-A",7826,2,3913
"774","H-A-C-A-A",1553,2,776.5
"775","H-A-C-B-A",965,1,965
"776","H-A-C-F-A",1947,1,1947
"777","H-A-C-K-A",1362,1,1362
"778","H-A-D-A-A",8949,4,2237.25
"779","H-A-D-D-A",6301,2,3150.5
"780","H-A-D-F-A",3464,1,3464
"781","H-A-D-G-A",4336,2,2168
"782","H-C-A-A-A",3060,3,1020
"783","H-C-A-A-B",33889,16,2118.0625
"784","H-C-A-B-B",711,1,711
"785","H-C-A-C-B",3790,3,1263.33333333333
"786","H-C-A-D-A",3806,2,1903
"787","H-C-A-D-B",8015,7,1145
"788","H-C-A-F-B",7708,1,7708
"789","H-C-A-G-A",3203,3,1067.66666666667
"790","H-C-A-G-B",11107,12,925.583333333333
"791","H-C-A-K-A",6997,2,3498.5
"792","H-C-A-K-B",14474,2,7237
"793","H-C-A-L-A",636,1,636
"794","H-C-B-A-A",4910,4,1227.5
"795","H-C-B-A-B",20769,13,1597.61538461538
"796","H-C-B-B-B",1265,2,632.5
"797","H-C-B-F-A",1373,1,1373
"798","H-C-B-G-B",10169,3,3389.66666666667
"799","H-C-B-H-B",5728,1,5728
"800","H-C-C-A-B",3596,2,1798
"801","H-C-C-B-A",764,1,764
"802","H-C-C-G-B",512,1,512
"803","H-C-D-A-B",5391,2,2695.5
"804","H-C-D-F-B",3455,2,1727.5
"805","HE-A-A-A-A",285023,293,972.774744027304
"806","HE-A-A-B-A",55398,48,1154.125
"807","HE-A-A-C-A",16673,21,793.952380952381
"808","HE-A-A-D-A",35529,28,1268.89285714286
"809","HE-A-A-D-B",3833,3,1277.66666666667
"810","HE-A-A-E-A",2149,1,2149
