"","type","floor5x","dwage9x","count","countsamp","conf"
"1497","Mid Floor purpose built flat, low rise","110 sqm or more","1975 to 1980",1460,1,1460
"490","Mid Floor purpose built flat, low rise","less than 50 sqm","1981 to 1990",32824,25,1312.96
"2540","Mid Floor purpose built flat, low rise","50 to 69 sqm","1981 to 1990",31336,16,1958.5
"7872","Mid Floor purpose built flat, low rise","70 to 89 sqm","1981 to 1990",1988,1,1988
"342","Mid Floor purpose built flat, low rise","less than 50 sqm","post 1990",74680,41,1821.46341463415
"94","Mid Floor purpose built flat, low rise","50 to 69 sqm","post 1990",112016,50,2240.32
"1276","Mid Floor purpose built flat, low rise","70 to 89 sqm","post 1990",25785,10,2578.5
"2024","Mid Floor purpose built flat, low rise","90 to 109 sqm","post 1990",3041,3,1013.66666666667
"5134","Mid Floor purpose built flat, low rise","110 sqm or more","post 1990",5043,1,5043
"1740","mid terrace 2 floors","less than 50 sqm","pre 1850",17697,5,3539.4
"672","mid terrace 2 floors","50 to 69 sqm","pre 1850",19562,10,1956.2
"372","mid terrace 2 floors","70 to 89 sqm","pre 1850",26342,9,2926.88888888889
"2444","mid terrace 2 floors","90 to 109 sqm","pre 1850",8771,3,2923.66666666667
"344","mid terrace 2 floors","110 sqm or more","pre 1850",26652,11,2422.90909090909
"74","mid terrace 2 floors","less than 50 sqm","1850 to 1899",41869,20,2093.45
"124","mid terrace 2 floors","50 to 69 sqm","1850 to 1899",195085,95,2053.52631578947
"3","mid terrace 2 floors","70 to 89 sqm","1850 to 1899",192981,97,1989.49484536082
"126","mid terrace 2 floors","90 to 109 sqm","1850 to 1899",77689,36,2158.02777777778
"240","mid terrace 2 floors","110 sqm or more","1850 to 1899",57531,21,2739.57142857143
"85","mid terrace 2 floors","less than 50 sqm","1900 to 1918",28152,18,1564
"84","mid terrace 2 floors","50 to 69 sqm","1900 to 1918",237347,117,2028.60683760684
"211","mid terrace 2 floors","70 to 89 sqm","1900 to 1918",230576,103,2238.60194174757
"261","mid terrace 2 floors","90 to 109 sqm","1900 to 1918",104334,45,2318.53333333333
"128","mid terrace 2 floors","110 sqm or more","1900 to 1918",54957,18,3053.16666666667
"851","mid terrace 2 floors","less than 50 sqm","1919 to 1944",18334,10,1833.4
"34","mid terrace 2 floors","50 to 69 sqm","1919 to 1944",228679,153,1494.6339869281
"91","mid terrace 2 floors","70 to 89 sqm","1919 to 1944",241105,125,1928.84
"61","mid terrace 2 floors","90 to 109 sqm","1919 to 1944",82180,31,2650.96774193548
"609","mid terrace 2 floors","110 sqm or more","1919 to 1944",13478,5,2695.6
"815","mid terrace 2 floors","less than 50 sqm","1945 to 1964",1973,3,657.666666666667
"40","mid terrace 2 floors","50 to 69 sqm","1945 to 1964",125376,132,949.818181818182
"2","mid terrace 2 floors","70 to 89 sqm","1945 to 1964",250919,217,1156.30875576037
"79","mid terrace 2 floors","90 to 109 sqm","1945 to 1964",65676,41,1601.85365853659
"4393","mid terrace 2 floors","110 sqm or more","1945 to 1964",8775,3,2925
"362","mid terrace 2 floors","less than 50 sqm","1965 to 1974",9034,6,1505.66666666667
"405","mid terrace 2 floors","50 to 69 sqm","1965 to 1974",81387,56,1453.33928571429
"49","mid terrace 2 floors","70 to 89 sqm","1965 to 1974",231315,170,1360.67647058824
"1051","mid terrace 2 floors","90 to 109 sqm","1965 to 1974",33083,24,1378.45833333333
"1159","mid terrace 2 floors","110 sqm or more","1965 to 1974",9387,8,1173.375
"1157","mid terrace 2 floors","less than 50 sqm","1975 to 1980",13739,8,1717.375
"798","mid terrace 2 floors","50 to 69 sqm","1975 to 1980",67867,37,1834.24324324324
"104","mid terrace 2 floors","70 to 89 sqm","1975 to 1980",91494,72,1270.75
"2748","mid terrace 2 floors","90 to 109 sqm","1975 to 1980",12934,12,1077.83333333333
"2276","mid terrace 2 floors","110 sqm or more","1975 to 1980",902,2,451
"495","mid terrace 2 floors","less than 50 sqm","1981 to 1990",68371,33,2071.84848484848
"82","mid terrace 2 floors","50 to 69 sqm","1981 to 1990",78275,40,1956.875
"227","mid terrace 2 floors","70 to 89 sqm","1981 to 1990",44813,52,861.788461538462
"1160","mid terrace 2 floors","90 to 109 sqm","1981 to 1990",12357,9,1373
"33","mid terrace 2 floors","110 sqm or more","1981 to 1990",3939,2,1969.5
"193","mid terrace 2 floors","less than 50 sqm","post 1990",33732,17,1984.23529411765
"334","mid terrace 2 floors","50 to 69 sqm","post 1990",184226,104,1771.40384615385
"25","mid terrace 2 floors","70 to 89 sqm","post 1990",72011,53,1358.69811320755
"1319","mid terrace 2 floors","90 to 109 sqm","post 1990",15314,7,2187.71428571429
"4682","mid terrace 2 floors","110 sqm or more","post 1990",5259,3,1753
"3525","mid terrace 3 floors","less than 50 sqm","pre 1850",3291,2,1645.5
"325","mid terrace 3 floors","50 to 69 sqm","pre 1850",8438,2,4219
"5920","mid terrace 3 floors","70 to 89 sqm","pre 1850",656,1,656
"5737","mid terrace 3 floors","90 to 109 sqm","pre 1850",7574,2,3787
"1057","mid terrace 3 floors","110 sqm or more","pre 1850",34755,12,2896.25
"852","mid terrace 3 floors","less than 50 sqm","1850 to 1899",10247,6,1707.83333333333
"206","mid terrace 3 floors","50 to 69 sqm","1850 to 1899",19144,8,2393
"158","mid terrace 3 floors","70 to 89 sqm","1850 to 1899",19971,14,1426.5
"127","mid terrace 3 floors","90 to 109 sqm","1850 to 1899",23079,12,1923.25
"136","mid terrace 3 floors","110 sqm or more","1850 to 1899",90448,34,2660.23529411765
"873","mid terrace 3 floors","less than 50 sqm","1900 to 1918",11314,4,2828.5
"119","mid terrace 3 floors","50 to 69 sqm","1900 to 1918",18045,10,1804.5
"549","mid terrace 3 floors","70 to 89 sqm","1900 to 1918",38652,16,2415.75
"286","mid terrace 3 floors","90 to 109 sqm","1900 to 1918",61827,24,2576.125
"395","mid terrace 3 floors","110 sqm or more","1900 to 1918",91975,27,3406.48148148148
"3947","mid terrace 3 floors","50 to 69 sqm","1919 to 1944",14138,6,2356.33333333333
"275","mid terrace 3 floors","70 to 89 sqm","1919 to 1944",35170,11,3197.27272727273
"3732","mid terrace 3 floors","90 to 109 sqm","1919 to 1944",26766,10,2676.6
"396","mid terrace 3 floors","110 sqm or more","1919 to 1944",35080,10,3508
"1891","mid terrace 3 floors","70 to 89 sqm","1945 to 1964",7867,5,1573.4
"4288","mid terrace 3 floors","90 to 109 sqm","1945 to 1964",3061,3,1020.33333333333
"3655","mid terrace 3 floors","110 sqm or more","1945 to 1964",2601,3,867
"5663","mid terrace 3 floors","50 to 69 sqm","1965 to 1974",1957,1,1957
"2499","mid terrace 3 floors","70 to 89 sqm","1965 to 1974",8984,6,1497.33333333333
"52","mid terrace 3 floors","90 to 109 sqm","1965 to 1974",13736,9,1526.22222222222
"39","mid terrace 3 floors","110 sqm or more","1965 to 1974",9299,6,1549.83333333333
"228","mid terrace 3 floors","70 to 89 sqm","1975 to 1980",1920,2,960
"1279","mid terrace 3 floors","90 to 109 sqm","1975 to 1980",6645,5,1329
"8460","mid terrace 3 floors","110 sqm or more","1975 to 1980",3463,5,692.6
"6987","mid terrace 3 floors","50 to 69 sqm","1981 to 1990",2491,2,1245.5
"2886","mid terrace 3 floors","70 to 89 sqm","1981 to 1990",8946,5,1789.2
"505","mid terrace 3 floors","90 to 109 sqm","1981 to 1990",8732,8,1091.5
"2037","mid terrace 3 floors","110 sqm or more","1981 to 1990",9053,4,2263.25
"6623","mid terrace 3 floors","50 to 69 sqm","post 1990",6049,3,2016.33333333333
"262","mid terrace 3 floors","70 to 89 sqm","post 1990",32569,18,1809.38888888889
"499","mid terrace 3 floors","90 to 109 sqm","post 1990",50605,26,1946.34615384615
"606","mid terrace 3 floors","110 sqm or more","post 1990",39813,18,2211.83333333333
"349","mid terrace 4 floors","110 sqm or more","pre 1850",8288,3,2762.66666666667
"4782","mid terrace 4 floors","110 sqm or more","1850 to 1899",1596,1,1596
"5952","mid terrace 4 floors","90 to 109 sqm","1900 to 1918",1641,1,1641
"3396","mid terrace 4 floors","110 sqm or more","post 1990",3896,2,1948
"4802","purpose built flat, low rise 1 floors","less than 50 sqm","1965 to 1974",766,1,766
"1510","semi detached 2 floors","50 to 69 sqm","pre 1850",11181,3,3727
"253","semi detached 2 floors","70 to 89 sqm","pre 1850",11824,5,2364.8
"3333","semi detached 2 floors","90 to 109 sqm","pre 1850",21761,8,2720.125
"426","semi detached 2 floors","110 sqm or more","pre 1850",51052,20,2552.6
"294","semi detached 2 floors","less than 50 sqm","1850 to 1899",2896,2,1448
"1664","semi detached 2 floors","50 to 69 sqm","1850 to 1899",20298,8,2537.25
"278","semi detached 2 floors","70 to 89 sqm","1850 to 1899",34816,17,2048
"243","semi detached 2 floors","90 to 109 sqm","1850 to 1899",48644,22,2211.09090909091
"1","semi detached 2 floors","110 sqm or more","1850 to 1899",67108,24,2796.16666666667
"5148","semi detached 2 floors","less than 50 sqm","1900 to 1918",4056,2,2028
"416","semi detached 2 floors","50 to 69 sqm","1900 to 1918",36307,17,2135.70588235294
"1636","semi detached 2 floors","70 to 89 sqm","1900 to 1918",47245,24,1968.54166666667
"1112","semi detached 2 floors","90 to 109 sqm","1900 to 1918",33947,17,1996.88235294118
"368","semi detached 2 floors","110 sqm or more","1900 to 1918",79474,27,2943.48148148148
"4776","semi detached 2 floors","less than 50 sqm","1919 to 1944",14080,6,2346.66666666667
"5","semi detached 2 floors","50 to 69 sqm","1919 to 1944",303487,201,1509.8855721393
"10","semi detached 2 floors","70 to 89 sqm","1919 to 1944",704839,356,1979.88483146067
"70","semi detached 2 floors","90 to 109 sqm","1919 to 1944",300426,125,2403.408
"150","semi detached 2 floors","110 sqm or more","1919 to 1944",288904,103,2804.8932038835
"682","semi detached 2 floors","less than 50 sqm","1945 to 1964",8248,7,1178.28571428571
"62","semi detached 2 floors","50 to 69 sqm","1945 to 1964",250345,229,1093.2096069869
"7","semi detached 2 floors","70 to 89 sqm","1945 to 1964",926081,572,1619.02272727273
"9","semi detached 2 floors","90 to 109 sqm","1945 to 1964",299532,152,1970.60526315789
"210","semi detached 2 floors","110 sqm or more","1945 to 1964",180494,68,2654.32352941176
"3857","semi detached 2 floors","less than 50 sqm","1965 to 1974",8784,3,2928
"129","semi detached 2 floors","50 to 69 sqm","1965 to 1974",149267,58,2573.56896551724
"116","semi detached 2 floors","70 to 89 sqm","1965 to 1974",276275,131,2108.96946564886
"295","semi detached 2 floors","90 to 109 sqm","1965 to 1974",148936,52,2864.15384615385
"30","semi detached 2 floors","110 sqm or more","1965 to 1974",98447,40,2461.175
"6299","semi detached 2 floors","less than 50 sqm","1975 to 1980",4755,2,2377.5
"184","semi detached 2 floors","50 to 69 sqm","1975 to 1980",55164,21,2626.85714285714
"377","semi detached 2 floors","70 to 89 sqm","1975 to 1980",99534,43,2314.74418604651
"971","semi detached 2 floors","90 to 109 sqm","1975 to 1980",24897,9,2766.33333333333
"1007","semi detached 2 floors","110 sqm or more","1975 to 1980",24697,9,2744.11111111111
"1852","semi detached 2 floors","less than 50 sqm","1981 to 1990",15203,9,1689.22222222222
"186","semi detached 2 floors","50 to 69 sqm","1981 to 1990",148445,60,2474.08333333333
"201","semi detached 2 floors","70 to 89 sqm","1981 to 1990",87728,47,1866.55319148936
"27","semi detached 2 floors","90 to 109 sqm","1981 to 1990",26670,10,2667
"2132","semi detached 2 floors","110 sqm or more","1981 to 1990",9391,3,3130.33333333333
"173","semi detached 2 floors","less than 50 sqm","post 1990",25941,13,1995.46153846154
"36","semi detached 2 floors","50 to 69 sqm","post 1990",158720,86,1845.58139534884
"339","semi detached 2 floors","70 to 89 sqm","post 1990",180682,116,1557.60344827586
"928","semi detached 2 floors","90 to 109 sqm","post 1990",32732,16,2045.75
"834","semi detached 2 floors","110 sqm or more","post 1990",15782,10,1578.2
"3712","semi detached 3 floors","110 sqm or more","pre 1850",21355,8,2669.375
"11894","semi detached 3 floors","50 to 69 sqm","1850 to 1899",6617,2,3308.5
"894","semi detached 3 floors","90 to 109 sqm","1850 to 1899",3488,2,1744
"1581","semi detached 3 floors","110 sqm or more","1850 to 1899",76607,23,3330.73913043478
"7867","semi detached 3 floors","50 to 69 sqm","1900 to 1918",1242,1,1242
"1571","semi detached 3 floors","70 to 89 sqm","1900 to 1918",8849,3,2949.66666666667
"4318","semi detached 3 floors","90 to 109 sqm","1900 to 1918",19461,5,3892.2
"147","semi detached 3 floors","110 sqm or more","1900 to 1918",76819,23,3339.95652173913
"8715","semi detached 3 floors","70 to 89 sqm","1919 to 1944",1765,1,1765
"391","semi detached 3 floors","90 to 109 sqm","1919 to 1944",13692,6,2282
"179","semi detached 3 floors","110 sqm or more","1919 to 1944",90761,27,3361.51851851852
"4698","semi detached 3 floors","50 to 69 sqm","1945 to 1964",1270,1,1270
"4544","semi detached 3 floors","70 to 89 sqm","1945 to 1964",4343,2,2171.5
"76","semi detached 3 floors","90 to 109 sqm","1945 to 1964",24215,10,2421.5
"774","semi detached 3 floors","110 sqm or more","1945 to 1964",38315,13,2947.30769230769
"2259","semi detached 3 floors","90 to 109 sqm","1965 to 1974",4569,2,2284.5
"1583","semi detached 3 floors","110 sqm or more","1965 to 1974",9600,4,2400
"11906","semi detached 3 floors","70 to 89 sqm","1975 to 1980",2427,1,2427
"2464","semi detached 3 floors","110 sqm or more","1975 to 1980",5923,2,2961.5
"8274","semi detached 3 floors","90 to 109 sqm","1981 to 1990",4939,2,2469.5
"8670","semi detached 3 floors","110 sqm or more","1981 to 1990",2252,1,2252
"7208","semi detached 3 floors","50 to 69 sqm","post 1990",1444,2,722
"28","semi detached 3 floors","70 to 89 sqm","post 1990",14150,7,2021.42857142857
"1541","semi detached 3 floors","90 to 109 sqm","post 1990",11867,6,1977.83333333333
"2218","semi detached 3 floors","110 sqm or more","post 1990",15932,8,1991.5
"1714","Top Floor converted flat","less than 50 sqm","pre 1850",7326,3,2442
"3460","Top Floor converted flat","50 to 69 sqm","pre 1850",5516,4,1379
"3334","Top Floor converted flat","70 to 89 sqm","pre 1850",15391,6,2565.16666666667
"2606","Top Floor converted flat","90 to 109 sqm","pre 1850",3368,2,1684
"5063","Top Floor converted flat","110 sqm or more","pre 1850",3520,2,1760
"381","Top Floor converted flat","less than 50 sqm","1850 to 1899",36432,19,1917.47368421053
"380","Top Floor converted flat","50 to 69 sqm","1850 to 1899",57459,24,2394.125
"189","Top Floor converted flat","70 to 89 sqm","1850 to 1899",35576,17,2092.70588235294
"3198","Top Floor converted flat","90 to 109 sqm","1850 to 1899",4065,2,2032.5
"1050","Top Floor converted flat","110 sqm or more","1850 to 1899",19939,5,3987.8
"1233","Top Floor converted flat","less than 50 sqm","1900 to 1918",41112,16,2569.5
"1600","Top Floor converted flat","50 to 69 sqm","1900 to 1918",32245,16,2015.3125
"1525","Top Floor converted flat","70 to 89 sqm","1900 to 1918",19925,10,1992.5
"2430","Top Floor converted flat","90 to 109 sqm","1900 to 1918",7841,5,1568.2
"1040","Top Floor converted flat","110 sqm or more","1900 to 1918",18381,8,2297.625
"291","Top Floor converted flat","less than 50 sqm","1919 to 1944",4804,4,1201
"545","Top Floor converted flat","50 to 69 sqm","1919 to 1944",26811,10,2681.1
"581","Top Floor converted flat","70 to 89 sqm","1919 to 1944",4631,3,1543.66666666667
"6094","Top Floor converted flat","90 to 109 sqm","1919 to 1944",1425,1,1425
"5926","Top Floor converted flat","less than 50 sqm","1945 to 1964",4622,6,770.333333333333
"1759","Top Floor converted flat","50 to 69 sqm","1945 to 1964",4518,1,4518
"9970","Top Floor converted flat","70 to 89 sqm","1945 to 1964",1362,1,1362
"2586","Top Floor converted flat","110 sqm or more","1945 to 1964",1563,1,1563
"3377","Top Floor converted flat","50 to 69 sqm","1965 to 1974",4466,2,2233
"3179","Top Floor converted flat","less than 50 sqm","1975 to 1980",1196,1,1196
"9218","Top Floor converted flat","50 to 69 sqm","1975 to 1980",331,1,331
"8225","Top Floor converted flat","less than 50 sqm","1981 to 1990",1534,1,1534
"1821","Top Floor converted flat","50 to 69 sqm","1981 to 1990",1690,1,1690
"10703","Top Floor converted flat","50 to 69 sqm","post 1990",4502,1,4502
"9294","Top Floor purpose built flat, high rise","70 to 89 sqm","1850 to 1899",920,1,920
"2723","Top Floor purpose built flat, high rise","70 to 89 sqm","1919 to 1944",2022,1,2022
"9996","Top Floor purpose built flat, high rise","less than 50 sqm","1945 to 1964",418,1,418
"1976","Top Floor purpose built flat, high rise","50 to 69 sqm","1945 to 1964",6351,9,705.666666666667
"2075","Top Floor purpose built flat, high rise","less than 50 sqm","1965 to 1974",2982,3,994
"7825","Top Floor purpose built flat, high rise","50 to 69 sqm","1965 to 1974",1101,2,550.5
"11590","Top Floor purpose built flat, high rise","70 to 89 sqm","1965 to 1974",500,1,500
"2249","Top Floor purpose built flat, high rise","less than 50 sqm","1975 to 1980",1162,1,1162
"7518","Top Floor purpose built flat, high rise","50 to 69 sqm","1975 to 1980",1876,2,938
"9566","Top Floor purpose built flat, high rise","110 sqm or more","1975 to 1980",1538,1,1538
"500","Top Floor purpose built flat, high rise","50 to 69 sqm","1981 to 1990",5224,1,5224
"11582","Top Floor purpose built flat, high rise","70 to 89 sqm","1981 to 1990",869,1,869
"1083","Top Floor purpose built flat, high rise","50 to 69 sqm","post 1990",1927,2,963.5
"2739","Top Floor purpose built flat, high rise","70 to 89 sqm","post 1990",6645,4,1661.25
"8526","Top Floor purpose built flat, high rise","90 to 109 sqm","post 1990",9948,2,4974
"8863","Top Floor purpose built flat, low rise","less than 50 sqm","pre 1850",2629,2,1314.5
"12415","Top Floor purpose built flat, low rise","90 to 109 sqm","pre 1850",1947,1,1947
"6429","Top Floor purpose built flat, low rise","less than 50 sqm","1850 to 1899",1915,2,957.5
"2918","Top Floor purpose built flat, low rise","50 to 69 sqm","1850 to 1899",10027,5,2005.4
"4696","Top Floor purpose built flat, low rise","70 to 89 sqm","1850 to 1899",8064,5,1612.8
"1248","Top Floor purpose built flat, low rise","90 to 109 sqm","1850 to 1899",630,1,630
"466","Top Floor purpose built flat, low rise","less than 50 sqm","1900 to 1918",13881,7,1983
"1929","Top Floor purpose built flat, low rise","50 to 69 sqm","1900 to 1918",22860,6,3810
"5165","Top Floor purpose built flat, low rise","70 to 89 sqm","1900 to 1918",12675,4,3168.75
"5497","Top Floor purpose built flat, low rise","110 sqm or more","1900 to 1918",2999,2,1499.5
"483","Top Floor purpose built flat, low rise","less than 50 sqm","1919 to 1944",32053,17,1885.47058823529
"217","Top Floor purpose built flat, low rise","50 to 69 sqm","1919 to 1944",53577,30,1785.9
"559","Top Floor purpose built flat, low rise","70 to 89 sqm","1919 to 1944",21480,14,1534.28571428571
"6427","Top Floor purpose built flat, low rise","90 to 109 sqm","1919 to 1944",1703,1,1703
"5774","Top Floor purpose built flat, low rise","110 sqm or more","1919 to 1944",3198,2,1599
"137","Top Floor purpose built flat, low rise","less than 50 sqm","1945 to 1964",118047,84,1405.32142857143
"87","Top Floor purpose built flat, low rise","50 to 69 sqm","1945 to 1964",124826,127,982.88188976378
"133","Top Floor purpose built flat, low rise","70 to 89 sqm","1945 to 1964",41638,32,1301.1875
"7808","Top Floor purpose built flat, low rise","90 to 109 sqm","1945 to 1964",4101,4,1025.25
"7010","Top Floor purpose built flat, low rise","110 sqm or more","1945 to 1964",901,1,901
"378","Top Floor purpose built flat, low rise","less than 50 sqm","1965 to 1974",87049,72,1209.01388888889
"92","Top Floor purpose built flat, low rise","50 to 69 sqm","1965 to 1974",128277,97,1322.44329896907
"566","Top Floor purpose built flat, low rise","70 to 89 sqm","1965 to 1974",38459,27,1424.40740740741
"471","Top Floor purpose built flat, low rise","90 to 109 sqm","1965 to 1974",4695,4,1173.75
"1125","Top Floor purpose built flat, low rise","110 sqm or more","1965 to 1974",1186,3,395.333333333333
"21","Top Floor purpose built flat, low rise","less than 50 sqm","1975 to 1980",91133,81,1125.0987654321
"38","Top Floor purpose built flat, low rise","50 to 69 sqm","1975 to 1980",57633,54,1067.27777777778
"251","Top Floor purpose built flat, low rise","70 to 89 sqm","1975 to 1980",3982,5,796.4
"22","Top Floor purpose built flat, low rise","less than 50 sqm","1981 to 1990",123909,97,1277.41237113402
"740","Top Floor purpose built flat, low rise","50 to 69 sqm","1981 to 1990",40754,36,1132.05555555556
"1287","Top Floor purpose built flat, low rise","70 to 89 sqm","1981 to 1990",22628,9,2514.22222222222
"7848","Top Floor purpose built flat, low rise","90 to 109 sqm","1981 to 1990",1135,1,1135
"1068","Top Floor purpose built flat, low rise","110 sqm or more","1981 to 1990",2611,2,1305.5
"90","Top Floor purpose built flat, low rise","less than 50 sqm","post 1990",130167,80,1627.0875
"263","Top Floor purpose built flat, low rise","50 to 69 sqm","post 1990",117526,64,1836.34375
"246","Top Floor purpose built flat, low rise","70 to 89 sqm","post 1990",30395,17,1787.94117647059
"478","Top Floor purpose built flat, low rise","90 to 109 sqm","post 1990",7123,3,2374.33333333333
"5068","Top Floor purpose built flat, low rise","110 sqm or more","post 1990",15140,2,7570
"373","Top Floor semi detached","50 to 69 sqm","1945 to 1964",3001,1,3001
