"","Finchtyp","mainfuel","watersys","tank","count","countsamp","conf","type"
"230","Room heaters","gas (mains)","electric immersion heater","Tank with Immersion Heater",77655,51,1522.64705882353,"Q"
"659","Room heaters","gas (mains)","instantaneous","No Tank",47038,23,2045.13043478261,"L"
"8539","Room heaters","gas (other)","electric immersion heater","Tank with Immersion Heater",885,1,885,"No match"
"8499","Room heaters","gas (other)","instantaneous","No Tank",2154,1,2154,"No match"
"573","Room heaters","wood","dedicated boiler","Tank with Immersion Heater",8569,5,1713.8,"CC"
"8990","Room heaters","wood","electric immersion heater","Tank with Immersion Heater",2785,1,2785,"BM"
"4320","Room heaters","wood","instantaneous","No Tank",7287,3,2429,"No match"
"213","Storage heaters","electricity","dedicated boiler","No Tank",21927,14,1566.21428571429,"AM"
"422","Storage heaters","electricity","dedicated boiler","Tank with Immersion Heater",14318,12,1193.16666666667,"AS"
"8389","Storage heaters","electricity","dedicated boiler","Tank without Immersion Heater",4454,1,4454,"BZ"
"1982","Storage heaters","electricity","electric immersion heater","No Tank",10195,5,2039,"BF"
"5","Storage heaters","electricity","electric immersion heater","Tank with Immersion Heater",1336637,977,1368.1033776868,"D"
"36","Storage heaters","electricity","instantaneous","No Tank",41915,28,1496.96428571429,"V"
"6435","Storage heaters","electricity","instantaneous","Tank without Immersion Heater",10024,10,1002.4,"AV"
"987","Warm air","electricity","electric immersion heater","Tank with Immersion Heater",13259,11,1205.36363636364,"AU"
"4349","Warm air","gas (mains)","dedicated boiler","No Tank",8605,5,1721,"No match"
"6066","Warm air","gas (mains)","dedicated boiler","Tank with Immersion Heater",1283,1,1283,"BO"
"1016","Warm air","gas (mains)","dedicated boiler","Tank without Immersion Heater",4362,3,1454,"No match"
"408","Warm air","gas (mains)","electric immersion heater","Tank with Immersion Heater",36959,27,1368.85185185185,"AC"
"3673","Warm air","gas (mains)","instantaneous","No Tank",14085,9,1565,"AB"
"14703","Warm air","gas (mains)","instantaneous","Tank without Immersion Heater",2319,1,2319,"No match"
"10815","Warm air","gas (mains)","with central heating","No Tank",5638,2,2819,"No match"
"283","Warm air","gas (mains)","with central heating","Tank with Immersion Heater",46368,28,1656,"Y"
"2917","Warm air","gas (mains)","with central heating","Tank without Immersion Heater",23596,18,1310.88888888889,"AF"
"7640","Warm air","heating oil ","with central heating","Tank with Immersion Heater",1428,1,1428,"No match"
