name,degree.total,degree.in,degree.out,strength.total,strength.in,strength.out,between,Category
TowerHamletsNow,620,407,213,766.3,541.8,224.5,113432.2471,
LoveWilko,556,343,213,997.8,793,204.8,37512.38114,
HousingCare21,512,299,213,921.8,405.2,516.6,5755.493406,
NewlonHT,439,226,213,609.2,261.1,348.1,123.8235574,
IdealWorldTV,422,209,213,450,271.8,178.2,19255.6648,
FiveMinuteEcon,401,188,213,656.3,251.8,404.5,588.9972295,
XCO2e,401,188,213,871.4,554.5,316.9,8179.693497,
BusyBeeCandles,397,184,213,437.1,221.3,215.8,160.9734919,
IanAshmanSkills,373,160,213,414,173.5,240.5,5769.68322,
AirportCityUK,357,144,213,438.9,175.8,263.1,31026.48355,
tracinggreen,340,127,213,769.4,316.9,452.5,21246.64512,
EdgetechUK,327,114,213,420.1,150.9,269.2,1932.445304,
russelhayden,309,96,213,546,178.3,367.7,19640.92602,
jrfChristine,305,92,213,382.9,100.1,282.8,35300.57131,
EasiDec,296,83,213,355.3,115.6,239.7,931.5089541,
CrediblyGreen,295,82,213,434.8,181.1,253.7,31517.28776,
YMB1919,286,73,213,436.3,156.3,280,8398.388528,
BeechSolar,283,70,213,284,71,213,49.09949118,
LeanneM_INV,249,36,213,208.1,35.4,172.7,15529.25687,
wallaceerabu,237,24,213,1062.4,21.5,1040.9,47983.82901,
SSE,917,705,212,1076,817,259,101013.1678,
KFiskPlumbing,554,342,212,947.6,544.5,403.1,9820.57644,
SagaUK,553,341,212,1104.4,881.2,223.2,74942.5072,
cbuilde,500,288,212,1047.4,624,423.4,62626.81225,
Robinson_Heat,478,266,212,1079.3,320.8,758.5,28054.2994,
WELLcertified,449,237,212,908.2,482,426.2,28584.8655,
Alan_Vallance,447,235,212,1919.2,367.7,1551.5,227982.391,
BridgendCollege,411,199,212,427,210.2,216.8,3754.041217,
ElitisWindows,390,178,212,1028.3,526.6,501.7,8950.387673,
PXEducation,389,177,212,369.8,151.6,218.2,45169.69531,
HealthCareersUK,377,165,212,411.2,181.2,230,26384.1859,
Stratfordenergy,356,144,212,2285.6,913.9,1371.7,17042.16155,
