name,degree.total,degree.in,degree.out,strength.total,strength.in,strength.out,between,Category
jrf_uk,11103,4246,6857,18471.5,10756.7,7714.8,424361.3028,
natfednews,6947,2997,3950,22612,15581.8,7030.2,45547.95361,
angelabradyRIBA,5307,1717,3590,7637.4,3424.9,4212.5,157407.5508,
SuButcher,5659,2112,3547,8858.4,4939.2,3919.2,913968.2957,
RIBA,7784,4353,3431,29016.5,23844.4,5172.1,856886.9771,
SustMeme,5156,1841,3315,7534.1,3583.6,3950.5,293039.6729,
wallbarn,3841,600,3241,4194.4,652.7,3541.7,9697.419919,
RICSnews,7174,3955,3219,19449.4,15327.9,4121.5,1113111.257,
ecologicalbuild,4360,1429,2931,9105.7,3381.6,5724.1,29251.95695,
Chris_Goulden,3989,1150,2839,4597.2,1340.9,3256.3,345359.1703,
Britanniacomms,3181,403,2778,3610.6,638.2,2972.4,431415.9192,Junk
Wood_for_Good,3445,705,2740,6310.8,1378.9,4931.9,110416.3426,
CommunitiesUK,7268,4561,2707,10645,7813,2832,812438.2812,
AltitudeAlu,3114,431,2683,3836.8,605.9,3230.9,51581.23381,
passivhausnews,3935,1340,2595,9124.3,3616.6,5507.7,18582.63061,
KirHammond,3945,1361,2584,5487.7,2167.2,3320.5,61007.27339,
tradeshour,3109,586,2523,3111.3,584.4,2526.9,48659.53978,
jamestplunkett,3296,798,2498,3534,911.5,2622.5,67779.65379,
urban_splash,4283,1818,2465,5317.1,2561.3,2755.8,157215.4812,
faisalislam,5163,2820,2343,6462.1,4077.7,2384.4,326984.6829,Junk
ArchitectsJrnal,5985,3652,2333,16039.9,12848.2,3191.7,503877.0534,
mattwarman,2759,459,2300,2750.9,436.2,2314.7,69769.20045,
AaronPorter,2795,509,2286,2886.6,513.4,2373.2,33123.33331,Junk
PeoplesNHS,2704,425,2279,2868.8,395.5,2473.3,53330.47681,Junk
PollyBillington,2810,617,2193,3623.9,757.7,2866.2,78242.76402,Government
HousingITguy,3684,1535,2149,7590.8,4048.3,3542.5,190297.1474,
GabeHuntley,2711,585,2126,2866,582.5,2283.5,48376.5431,Junk
martinhilditch,3537,1470,2067,4843.7,1922.5,2921.2,7529.821125,
indy_johar,2936,875,2061,3584.7,1297.8,2286.9,268838.6357,
gsoh31,2629,595,2034,2771.1,596.5,2174.6,90534.78321,
phplusmag,3211,1187,2024,6595.4,3445.7,3149.7,52457.62206,
fmbuilders,3928,1918,2010,8320.7,5510.8,2809.9,48011.11832,
Emmabarnett,2964,972,1992,3073.6,976.6,2097,204494.2593,
wesstreeting,3369,1378,1991,3838.6,1628.3,2210.3,230829.2627,
housingday,3253,1271,1982,7619.6,2862.1,4757.5,1281.951682,
USGBC,2887,921,1966,4395.6,1996.1,2399.5,28433.49194,
livingarchitect,2324,375,1949,2635.6,621.7,2013.9,71565.89111,
AndyJackson_UK,2724,776,1948,2755.5,777.3,1978.2,54629.19847,
lizmale,3766,1825,1941,6025,3183.2,2841.8,618053.8918,
SocEntScot,2330,393,1937,2559.7,449.3,2110.4,12116.14313,
OliBarrett,2413,495,1918,2575,544,2031,246461.7214,
ImmyKaur,2501,585,1916,3038.1,877.2,2160.9,185783.9138,
paulwaugh,4363,2455,1908,4996.2,3025.6,1970.6,226204.195,Junk
MartinBelam,2703,802,1901,2724.7,701.8,2022.9,181568.6565,
MorphetMinor,2369,477,1892,3807.3,939.5,2867.8,80705.59671,
LivingWageUK,2921,1031,1890,3834.3,1726.2,2108.1,832590.9436,Junk
App4EngAwards,2536,652,1884,2648.7,708.3,1940.4,84458.95569,
brandyorkshire,2314,433,1881,2385.3,466.2,1919.1,39155.79435,
gatesheadhc,2677,797,1880,2769.1,818,1951.1,15926.82223,
ShapeArchitect,2584,722,1862,2870.8,769.6,2101.2,5515.318576,
BDonline,4492,2637,1855,7699.4,4912,2787.4,349322.5538,
electoralreform,2545,698,1847,2642,754.5,1887.5,139324.3508,
Amina_Lone,2197,363,1834,2230.2,379.6,1850.6,73161.28758,
janicemorphet,2296,467,1829,3266.1,855,2411.1,190047.2998,
FelicityMorse,2843,1024,1819,2666.7,778.1,1888.6,416308.0211,
UKGBC,4985,3170,1815,10702.4,7327.1,3375.3,349446.2897,
JeremyCorbyn4PM,2694,890,1804,3087.9,1129.7,1958.2,151887.4798,
ThirlwallAssoc,2521,718,1803,3433.9,971.8,2462.1,296092.3797,
vickybeeching,2225,423,1802,2263.8,442.1,1821.7,41684.2474,
CleanAirLondon,2866,1079,1787,3653.9,1519.8,2134.1,507578.1752,
Sticky_Products,2556,774,1782,2703.1,789.6,1913.5,435332.8653,
HousingPlusTH,2110,335,1775,2896.2,595.6,2300.6,3305.109223,
yestohomes,2864,1090,1774,4935.5,1617.1,3318.4,1865.740285,
AlumascRW,2441,669,1772,3627.9,807.9,2820,40752.18355,
Helen_Barnard,2642,879,1763,3252.8,1044.1,2208.7,230448.597,
ShaunTymon,2964,1212,1752,3995.7,1741.6,2254.1,55239.42122,
GeoffWilkinson,2742,997,1745,3639,1616.9,2022.1,628842.2425,
demsoc,2203,458,1745,2261.7,458.1,1803.6,64320.81692,
GreenGuideUK,2665,921,1744,3332.7,1156.9,2175.8,63902.3675,
NewStartMag,2644,907,1737,3329.2,1248.3,2080.9,96806.23223,
LGiU,2554,818,1736,2727.3,883.4,1843.9,100138.0019,
iioannoulbs,2337,634,1703,2585.1,735.9,1849.2,2267.756779,
PJDunleavy,2282,591,1691,2353.8,629.7,1724.1,56441.14334,
AbigailSPaul,2541,857,1684,3304.5,1277.1,2027.4,391835.4913,
ProgressOnline,2495,815,1680,2769.7,1016.9,1752.8,8967.00386,
CITB_UK,4338,2662,1676,8474.5,5726.2,2748.3,1311186.322,
susannareid100,2637,962,1675,2708.9,873,1835.9,163403.5447,
IanSGraham,2448,781,1667,3043.2,873.8,2169.4,107038.2627,
LouisMMCoiffait,2129,462,1667,2326.4,503.9,1822.5,138057.1647,
DPJHodges,3055,1390,1665,3295.4,1612,1683.4,75471.8679,
M3Housing,1945,283,1662,2970.7,637.8,2332.9,3956.808517,
Ecobuild_Now,4189,2542,1647,9089.5,5624.1,3465.4,31631.18952,
EnergyBillRev,2428,782,1646,5374.6,2784,2590.6,11946.29868,
kevingulliver,2520,883,1637,3587.6,1283.2,2304.4,82885.66419,
ArchitectsDF,2697,1068,1629,4112.5,2304,1808.5,94231.5787,
stefanstern,2339,711,1628,2623.6,757.2,1866.4,52033.71397,
bifoldfactory,2531,906,1625,2766.8,1020.6,1746.2,578877.5008,
atkinsglobal,3208,1587,1621,4191.6,2352.8,1838.8,247096.9048,
ThirdSectorLab,2355,738,1617,2452.1,803.1,1649,34227.8247,
Alison_McGovern,2607,994,1613,2815.6,1027.5,1788.1,141587.2878,
BarbourNews,2545,934,1611,4811,3063.7,1747.3,120216.4617,
proctorgroup,2177,566,1611,3154.4,695.5,2458.9,92481.74384,
tianran,2251,646,1605,2413.2,686.6,1726.6,64736.58706,
TownPlanningUK,2412,811,1601,2585.5,970,1615.5,990.8213408,
policyJenny,2474,875,1599,4643.2,977.3,3665.9,29894.96663,
katefaulkner,2203,604,1599,4365.3,1279,3086.3,72975.21996,
hbuildingnews,2252,654,1598,2506.2,863.3,1642.9,1512.758225,
Ed_Crooks,2164,570,1594,2536.3,717.4,1818.9,56531.72996,
constructline,2891,1300,1591,3255.2,1632.8,1622.4,178246.1401,
Catapult_UK,2323,733,1590,3244.4,982.3,2262.1,77861.06698,
CPSThinkTank,2196,606,1590,2372.7,629.7,1743,22129.53088,
robertklaschka,2384,804,1580,3012.9,929.4,2083.5,94644.06625,
blowndes,2011,431,1580,2230.6,546.1,1684.5,81666.81949,
HousingExhib,2120,541,1579,3189.8,685.7,2504.1,5711.026857,
Wonkhe,2053,481,1572,2234.6,612.9,1621.7,14712.86427,
PETRIEDESIGN,1724,158,1566,2276.1,161.4,2114.7,53664.88981,
Foremarke,1724,165,1559,3493.1,686.3,2806.8,29353.96985,
UKConstruction,3918,2361,1557,4881,2740.7,2140.3,163531.2555,
journalismnews,2211,656,1555,2237.9,681,1556.9,44015.98778,
AlbanThurston,1714,163,1551,1964.1,183.7,1780.4,59413.14,
RyanShorthouse,2087,538,1549,3124.9,1283.4,1841.5,8617.174341,
shirleyayres,2232,686,1546,2753.1,891.4,1861.7,211389.825,
LondonNPC,1969,423,1546,2710.6,785.3,1925.3,41773.41496,
davidwalliams,2383,840,1543,2326.4,755,1571.4,153489.0501,
profjacquiglass,2315,772,1543,3796.3,1345.6,2450.7,140470.9754,
TheCassArt,1997,458,1539,3040.6,856,2184.6,38644.21486,
WeAreBrightBlue,2315,780,1535,3433.7,1391.1,2042.6,189069.6837,
ongreening,1963,431,1532,3069.2,739.8,2329.4,53802.23483,
RayHoldenUrban,2251,722,1529,2362.3,746.2,1616.1,62223.65271,
Jessica_Asato,2074,547,1527,2373.2,565.6,1807.6,63992.04933,
TomBlenkinsop,2151,625,1526,2494.5,631.8,1862.7,47424.19915,
prospect_uk,2646,1124,1522,2786,1286.8,1499.2,481029.2958,
Screwfix,2669,1148,1521,2884.8,1328.3,1556.5,486785.1056,
aknotay,2166,649,1517,3398.8,1456.9,1941.9,542737.4612,
josmitwrites,1979,462,1517,3031.6,567.5,2464.1,103830.7516,
SoniaMeggie,1739,222,1517,1787.2,238.3,1548.9,65936.87056,
SustHomes,3432,1917,1515,7304.2,5123.8,2180.4,28048.16592,
DeHavilland,2090,575,1515,2206.4,655,1551.4,161723.1277,
NHMFOfficial,1846,332,1514,2678.2,568,2110.2,13428.39019,
follyforlondon,1807,296,1511,2064.2,467.9,1596.3,165123.2158,
tkbeynon,1925,422,1503,2269.8,536.8,1733,176778.8618,
PaulBromford,2632,1138,1494,4145.8,2523.7,1622.1,104077.9009,
carboncoach,2070,578,1492,2596.8,824.4,1772.4,133446.3519,
CheshireEast,1756,264,1492,1822.5,304.4,1518.1,71413.76849,
CINmagazine,2049,558,1491,2401,655.1,1745.9,83703.06999,
BBMarchitects,2017,530,1487,3697.2,1024.1,2673.1,29096.47322,
jessbrammar,2250,766,1484,2510.1,837.3,1672.8,160907.9854,
Habinteg,2208,724,1484,4549.9,1779.9,2770,27332.17563,
SamiraAhmedUK,2216,733,1483,2206.6,693.8,1512.8,196169.5945,
ConstructionYT,2770,1290,1480,5974,3725.5,2248.5,77162.05172,
BUXTONBUILDING,1963,484,1479,2039.1,506.6,1532.5,15047.50396,
alexharteco,1921,446,1475,3679.1,806.9,2872.2,40858.81271,
BootstrapCook,2705,1231,1474,2835.9,1368.2,1467.7,289063.5031,
CIHhousing,4170,2698,1472,23381.7,19275.9,4105.8,43208.76584,
NCVO,2864,1393,1471,3189.7,1646,1543.7,75963.60764,
Dr_Black,2252,781,1471,2363.7,868.6,1495.1,91302.63355,
Oliver_Heath,2486,1018,1468,3293.6,1403.3,1890.3,33318.39095,
HomesforBritain,2753,1287,1466,6457.2,3873.2,2584,475.7675498,
CIPD,2483,1021,1462,2682.8,1182.3,1500.5,275444.2153,
AnneDyeResearch,2233,771,1462,2848.2,989.7,1858.5,49031.06162,
rickmuir1,1783,324,1459,1905.3,324.5,1580.8,20915.55656,
grahamemorris,2179,722,1457,2484.9,769.7,1715.2,156006.9475,
CentreforCities,3065,1609,1456,4130.3,2566.4,1563.9,62625.15884,
GreenGrounded,1646,192,1454,1813.5,235.1,1578.4,10354.16223,
Issie_HC21,1871,418,1453,3275.2,1064.3,2210.9,22112.83656,
thomaspower,1991,541,1450,2095.4,604.5,1490.9,105507.5563,
Piers_Taylor,2183,739,1444,3297.7,1467.9,1829.8,106500.7887,
demagazine,2160,716,1444,3130.6,1015,2115.6,140495.2024,
stephenkb,2819,1377,1442,3315.2,1753.2,1562,215284.4623,
Cost2Build_UK,2092,651,1441,2584.9,1047.9,1537,61295.10211,
waitey,2760,1320,1440,5157.3,2717.2,2440.1,161989.0293,
charlotteh_hsg,2096,657,1439,2490.6,773.1,1717.5,34062.24879,
johnmcternan,2285,847,1438,2390.5,856.7,1533.8,79582.81918,
LBCC_sailing,1696,260,1436,2563.1,590,1973.1,194008.3608,
CosyWarmPlumber,2309,875,1434,4695.2,2566.2,2129,32102.83873,
eaglesandrew,2391,959,1432,3220.9,1589.2,1631.7,176096.2016,
CCS_org,1732,300,1432,1948.8,359.5,1589.3,6195.275517,
TrewinR,2118,687,1431,3026.6,1290,1736.6,82911.09421,
VBP2011,1668,238,1430,2124.6,351.7,1772.9,51632.78405,
SarahLudford,1816,394,1422,1965,475.7,1489.3,54598.78358,
AssemblyWales,1934,513,1421,1995.9,576.4,1419.5,150790.3615,
danny_wright,2130,711,1419,3119.6,1192.4,1927.2,235944.4563,
TheBMBI,1878,459,1419,3034.6,963.3,2071.3,23517.62816,
BrianSpecMan,1896,481,1415,2387.9,594.8,1793.1,14711.62458,
Scott_Redding,1658,244,1414,1906.4,265.2,1641.2,47034.74374,
hendopolis,2705,1295,1410,2854.8,1389.6,1465.2,319054.4191,
equalitytrust,2195,785,1410,2459.8,973.5,1486.3,64075.0079,
michaeljkemp,2110,702,1408,2248.9,711.7,1537.2,13811.3018,
William_Bain,1932,524,1408,2337.9,529.2,1808.7,35436.02612,
SarahBrownUK,2531,1126,1405,2580.9,1120.5,1460.4,65174.88687,
DebbieAnadapta,2127,722,1405,4738.9,1730.8,3008.1,188470.2576,
HumanCityInst,2088,686,1402,3304.1,1210.9,2093.2,65018.00711,
LeightonAndrews,1797,395,1402,1966,387.5,1578.5,126565.8926,
BitebackPub,1579,177,1402,1639.8,171.6,1468.2,84489.86808,
SebDance,2155,754,1401,2339.9,760.2,1579.7,187901.2315,
marianneheaslip,1825,425,1400,2575,622,1953,126205.1391,
LucyFerman,2262,863,1399,4936.5,2340.5,2596,150453.884,
projectdirt,1885,489,1396,2101.4,588.8,1512.6,37543.82107,
peteholbrook,1839,445,1394,2166.6,554.8,1611.8,84707.76758,
JamesCleverly,2236,844,1392,2474.9,1008.7,1466.2,113836.7365,
jameschappers,2601,1211,1390,2734.7,1289.7,1445,91020.68169,
WiloUK,2153,763,1390,2628.7,958.6,1670.1,52064.76142,
parityprojects,2151,761,1390,2912.2,1075.6,1836.6,43787.39427,
bricksandbread,2104,714,1390,2183.8,746.6,1437.2,45157.33902,
chakrabortty,2588,1199,1389,3003.2,1358.7,1644.5,651348.2231,Media
jrp_info,1796,407,1389,2196.3,742.8,1453.5,2405.138566,
danc00ks0n,1711,323,1388,2750.3,651.5,2098.8,219936.9677,
DJSkelton,1906,519,1387,2118.9,578.3,1540.6,101777.9727,
reformthinktank,2073,687,1386,2317.4,917.9,1399.5,17632.8961,
davidgcant,2959,1576,1383,4383.5,2951.7,1431.8,1119883.254,
GoodEnergy,2867,1485,1382,4970.8,3349.8,1621,24273.27932,
tweetminster,2519,1140,1379,2996.5,1144.4,1852.1,1771.371262,
snowarchitects,2355,976,1379,2823.4,1250.9,1572.5,79536.15317,
Chrisitv,1907,528,1379,1955,568,1387,77085.13905,
BelTel,1659,283,1376,1716.9,340.9,1376,4309.386095,
MaintenanceShow,1576,202,1374,3054.3,217.8,2836.5,125188.8678,
EcoWatch,2043,670,1373,3146.7,1440.4,1706.3,15332.22714,
SmithTonyD,1763,390,1373,2081.8,464.1,1617.7,183414.9366,
Angela_NSHG,1994,622,1372,3990.7,1191.9,2798.8,23804.90369,
stewartelee,1883,512,1371,2013.3,565.8,1447.5,635833.7426,Junk
PatrickStrud,1851,481,1370,1802.5,422,1380.5,182094.2555,
civic_voice,2059,696,1363,2857.7,1304,1553.7,73192.47824,
HomEnergyAdvice,1840,478,1362,2818.5,588.4,2230.1,66340.21604,
AdrianWaite,1547,186,1361,1569.7,206.4,1363.3,5583.251285,
SophieRunning,1988,629,1359,2229.6,725.7,1503.9,154037.2884,
envirovent,1737,382,1355,1929.6,501,1428.6,50856.91099,
LHCprocurement,1730,376,1354,2277.2,620.7,1656.5,56225.78375,
lyha_LisaP,2477,1124,1353,6742.5,4468.7,2273.8,285021.6629,
labourwhips,2086,733,1353,2422.9,852.5,1570.4,15492.94439,
johnbirdswords,1896,544,1352,2413.2,802.5,1610.7,498118.4855,
DasInkling,1723,371,1352,2921.3,697.4,2223.9,41696.91804,
EEandHHAwards,1919,570,1349,2367.2,597.8,1769.4,31782.10936,
joannayarrow,1842,493,1349,2155.9,655.7,1500.2,34580.42461,
SCLAstra,1540,191,1349,3402.8,295.1,3107.7,74981.86744,
KenPerry47,2001,653,1348,3578.7,1696.5,1882.2,121034.0494,
Debbie_abrahams,2323,976,1347,2587,1142.5,1444.5,277692.9821,
UK_CW,2805,1459,1346,7445.1,5102.3,2342.8,537499.2044,
LonPropertyNet,2125,782,1343,2128.9,784.3,1344.6,4057.622869,
AdeCapon,2021,678,1343,4881.1,1610.8,3270.3,80488.12359,
EcoCraigJones,2709,1367,1342,3600.6,1695.6,1905,37784.93883,
SmithsEP_UK,1685,343,1342,2347.1,561,1786.1,12760.28495,
CitizensAdvice,3032,1692,1340,3972.9,2610.6,1362.3,634770.2794,
CraigBennett3,2047,707,1340,2842.3,1097.7,1744.6,210519.192,
apprentice_life,1791,451,1340,1972.8,599.4,1373.4,161119.5148,
christopherhope,2597,1258,1339,2880.3,1416.2,1464.1,68764.20718,
ROCC_Computers,1516,177,1339,2687.9,245.7,2442.2,5193.551098,
britishgypsum,2041,705,1336,2546,1127.1,1418.9,177099.0805,
ABAonline,1638,302,1336,1639.7,303.4,1336.3,340633.1154,
Alison_Inman,2478,1145,1333,8710.5,6356.3,2354.2,339745.1659,
Bonn1eGreer,2355,1022,1333,2421.7,1032.9,1388.8,329585.8247,
cabeupdates,2329,999,1330,3137.4,1352,1785.4,23569.72065,
SustainGuernsey,1460,135,1325,2198.5,140.5,2058,40231.726,
SurveyProperty,2203,883,1320,2281,957,1324,3442.84703,
Satchers,1784,467,1317,2652.2,691.9,1960.3,253033.2819,
Tanni_GT,2122,806,1316,2102.4,791.8,1310.6,90583.83653,
SaintGobainUK,2703,1388,1315,4870.7,2809,2061.7,341864.3234,
WES1919,2142,832,1310,3083.2,1296.9,1786.3,66369.56603,
peopleandplanet,1804,499,1305,2008,555.1,1452.9,57026.35635,
ESRC,2306,1003,1303,2783.8,1323.4,1460.4,52331.77551,
NelsonMandela,1751,452,1299,1721.3,421.5,1299.8,98821.63682,
SikaLimited,1858,560,1298,2395,848.5,1546.5,92943.8408,
L__Macfarlane,1753,455,1298,2301,653.8,1647.2,188074.1498,
bragagnimaurizi,1362,64,1298,1355.7,47.8,1307.9,103248.4969,
darrenevans_NRG,1937,640,1297,2648.6,946,1702.6,86076.73427,
JonnyEcology,1627,330,1297,2456.7,666,1790.7,61902.1717,
butlerandyoung,1772,477,1295,1998.3,508.2,1490.1,4087.33185,
TeamTHT,2183,889,1294,2811.8,1375.5,1436.3,36150.31367,
EduEstates,1680,388,1292,3309.4,1698.7,1610.7,84756.26441,
fairsnape,2590,1299,1291,5601.3,3340.7,2260.6,675399.0244,
eliistender10,1742,451,1291,1765,425.2,1339.8,163738.5132,
CarbonBrief,2583,1294,1289,6316.5,3530.7,2785.8,36586.60627,
ianfordham,1682,394,1288,1871.4,459.9,1411.5,12720.51163,
BernaMeaden,1521,235,1286,1679.1,208.8,1470.3,458153.6934,
TristramHuntVA,2483,1200,1283,2578.8,1243.2,1335.6,73361.48482,
TRADA_,2104,821,1283,2808.9,1450.9,1358,34729.42438,
LeonieGreene,1866,584,1282,4588.4,2457.8,2130.6,180501.73,
omaromalleykhan,1578,296,1282,1786.4,368,1418.4,83684.51973,
EmmaBurnell_,1792,511,1281,1909.8,511.6,1398.2,107336.6515,
thedancingflea,1787,509,1278,2349.8,966.8,1383,312559.8162,
JakubKrupa,1613,337,1276,1840.1,293,1547.1,233305.9711,
genrentuk,2012,737,1275,2525.8,1068.3,1457.5,284722.5,
ArchitectureMad,1532,257,1275,2174.8,282.3,1892.5,57913.45019,
DigiConWeek,1783,510,1273,3524.2,1310.1,2214.1,45757.38153,
TetraFlow,1677,404,1273,2224.5,414,1810.5,121069.754,
GloriaDePiero,2230,958,1272,2365.5,966.1,1399.4,36509.38577,
AnneCMcIntosh,1587,315,1272,1695.5,325,1370.5,17377.59012,
_NovusSolutions,1768,498,1270,2134.1,581.7,1552.4,83416.70868,
JonLandOfficial,2472,1203,1269,4745.7,1547,3198.7,9846.878615,
TonyStacey,2292,1023,1269,5322.2,2786.3,2535.9,274699.2494,
Knauf_UK,1815,546,1269,2044,656.3,1387.7,9355.171781,
SylvaGroup,1632,363,1269,2235.9,606,1629.9,59554.27593,
shane_brownie,1766,498,1268,2674.1,718.4,1955.7,36845.59802,
chrislittlecott,1616,348,1268,2490.7,590.9,1899.8,9549.787228,
Firstbathroomuk,1632,366,1266,2938.5,1100.7,1837.8,17675.34721,
GaryHaynes64,1512,246,1266,2394.7,786.5,1608.2,50833.59272,
HMD_UK,1616,351,1265,1602.7,320.5,1282.2,136618.1244,
jrfbrian,2317,1059,1258,5154.7,3091.9,2062.8,116905.0227,
NUTonline,1760,503,1257,1849.5,502.8,1346.7,81424.85794,
RichRJohnstone,1555,299,1256,1719.2,331.3,1387.9,88343.03235,
ClaireJAstbury,2017,762,1255,3782.4,1425.5,2356.9,233514.1369,
VAFKingsley,1480,226,1254,3067.6,396.4,2671.2,73486.05927,
passionforhomes,1550,298,1252,1958.5,328.3,1630.2,27538.63293,
RachelAFisher,1950,699,1251,3131.4,1249.3,1882.1,118104.5938,
HelReynolds,2146,896,1250,2494.8,1284.3,1210.5,436177.0821,
steve_hoey,2087,837,1250,4138.8,1490.2,2648.6,78518.60471,
DomWilliamson13,1491,241,1250,1926.4,481.4,1445,6169.093876,
wienerbergeruk,1912,663,1249,3786,1788.9,1997.1,77716.55786,
pollymackenzie,1626,378,1248,1742.3,424,1318.3,303054.1263,
LabourLordsUK,1994,747,1247,2784,1358.1,1425.9,22099.56904,
HousingGemma,1978,731,1247,4198.8,1525.4,2673.4,61898.50574,
wholebuild,1721,474,1247,1836.6,551.9,1284.7,9919.290449,
naomitimperley,1813,567,1246,1981.2,602.2,1379,89590.22179,
greg_jenner,1849,604,1245,1809.7,569.6,1240.1,110513.5421,
Greenhouse_PR,1977,734,1243,3116.9,1343.7,1773.2,160704.4033,
buildersconf,1655,414,1241,2076.2,641,1435.2,859.2306697,
PeterFBrown,2024,784,1240,2628.8,1180.5,1448.3,62722.78187,
SustMemeTop500,1991,757,1234,2997,1589.4,1407.6,308420.6038,
CORGITechnical,1833,600,1233,2100.7,682.9,1417.8,40056.88524,
RoofMakerLtd,1695,462,1233,1937.4,578.5,1358.9,48666.67363,
Anthi_Valavani,1491,258,1233,2867.6,374.4,2493.2,34720.0321,
f3group_uk,1407,176,1231,1710.8,211,1499.8,23165.79415,
vicrayner,1868,639,1229,3031.5,1321.3,1710.2,9052.787529,
ScotlandBuild,1682,453,1229,2186,571.4,1614.6,81977.09318,
LDADesign,1648,419,1229,1819.6,469.5,1350.1,661.987134,
bobbiehough,1646,417,1229,3166.7,656.6,2510.1,75877.57577,
AoC_info,2263,1035,1228,3214.9,1955.9,1259,499022.6092,
PhilipGlanville,1667,439,1228,2025,589,1436,172893.6619,
MrHarryCole,2455,1228,1227,2787.2,1466.5,1320.7,205040.1801,
SustainWorld,1617,390,1227,3399.1,1594.7,1804.4,37641.66899,
peterpfrench,1604,377,1227,2715.8,854.6,1861.2,9407.354491,
carocomms,1846,620,1226,3942.6,1532,2410.6,173301.8851,
andrew4mk,1624,398,1226,1881.8,511.1,1370.7,71615.25903,
Phillip_Blond,2120,895,1225,2411.9,964.4,1447.5,93133.20064,
JustinGriggs,1523,299,1224,1665.4,343.8,1321.6,21356.20301,
LouiseMensch,1855,633,1222,1859.1,629.7,1229.4,15056.5959,
SofiePelsmakers,2482,1262,1220,7308.7,4735.6,2573.1,289537.8907,
womenintech,1659,439,1220,1667.1,434.8,1232.3,34782.94447,
UoBCivilEng,1449,229,1220,2250.2,315.2,1935,119382.9704,
IncommunitiesHA,1904,686,1218,4531.9,1835.6,2696.3,58657.34717,
shower_save,1360,142,1218,1486.5,166.4,1320.1,29016.86226,
onmybiketoo,1593,378,1215,2422.6,636.4,1786.2,155024.148,
RachelDaltonLGC,1481,266,1215,1678.5,323.3,1355.2,22184.87063,
ICE_engineers,2968,1754,1214,6702.4,5025.5,1676.9,1100594.522,
huwbbc,1800,587,1213,1794.6,532.7,1261.9,217208.3306,
Peaawards,1586,374,1212,3569.5,806.4,2763.1,16679.58526,
HCA_UK,3823,2612,1211,6038.4,4257.3,1781.1,115183.3112,
Glenigan,2280,1069,1211,2854.2,1261.7,1592.5,30470.59136,
bluegreentweet,1777,566,1211,2143.4,925.2,1218.2,17268.61228,
JPWNews,1568,357,1211,1888.2,495.7,1392.5,64570.11264,
HighwayCodeGB,1539,328,1211,1529.1,296.4,1232.7,94478.81408,
ThePhilpster,1958,749,1209,2796.5,1032.1,1764.4,50551.45488,
Stopcocks,1843,634,1209,2954.8,1342.2,1612.6,340259.1114,
imran_1,1510,302,1208,1687.7,359.1,1328.6,192411.2791,
TessyBritton,1751,544,1207,2087.8,740.4,1347.4,79655.2932,
ukbusinessnet,1808,603,1205,1836,631.2,1204.8,19803.77785,
WeAreResource,1983,779,1204,4899.4,2802.7,2096.7,87118.25819,
Ongasuk,1591,388,1203,2227.6,509.7,1717.9,63960.98311,
antonyslumbers,1689,487,1202,2639.6,1259.1,1380.5,684224.7647,
StMungos,2177,976,1201,3054.4,1508.9,1545.5,184459.8996,
theCCCuk,2339,1139,1200,4035.1,1919.6,2115.5,69442.29238,
Bioregional,2047,847,1200,5809.1,1652.5,4156.6,23203.27792,
robwarm1,1898,698,1200,3961,1763.8,2197.2,504990.1875,
pegleryorkshire,1839,646,1193,2102.7,745.5,1357.2,32478.57584,
CETurner1975,1593,400,1193,1931.8,452.7,1479.1,43219.98202,
UK_Housing,1926,735,1191,2327.5,856.3,1471.2,7477.367368,
lucysiegle,1707,516,1191,1859.1,595.1,1264,144176.4929,
chunkymark,1812,622,1190,2155.1,823.2,1331.9,486384.859,
jablite,1546,357,1189,2007.6,450.2,1557.4,67754.10983,
ScouseGirlMedia,1481,292,1189,1929.3,366.9,1562.4,85567.36712,
TomBage,1340,151,1189,1472.8,156.5,1316.3,42987.98685,
Calum_Masters,1271,83,1188,1307.3,75.6,1231.7,5069.036593,
theJRHT,2247,1060,1187,3175.8,1417.3,1758.5,45410.97502,
rosschawkins,2025,839,1186,1993.6,807.1,1186.5,14986.03292,
LegatumInst,1548,364,1184,1600.4,383.8,1216.6,38563.1384,
Carrie_Behar,1647,464,1183,3166,1046.3,2119.7,215416.494,
RealGeoffBarton,1558,375,1183,1679.5,470.9,1208.6,130410.5451,
tom_burke_47,1865,683,1182,3246.4,1514.1,1732.3,15796.8048,
sianberry,1907,727,1180,2688.9,1109.7,1579.2,397091.8239,
jules_birch,2774,1595,1179,6048.7,4432.6,1616.1,166249.8993,
e_architect,2454,1276,1178,3375.4,2195.4,1180,16672.50058,
paulfrainer,1263,85,1178,1349.5,88.9,1260.6,8078.47283,
Scientists4EU,2109,932,1177,2619.9,1224.4,1395.5,262767.94,
jenstuds,1359,182,1177,1584.3,215.5,1368.8,76907.0383,
Installermag,2343,1167,1176,6591.1,3884.9,2706.2,200705.6872,
benrileysmith,1899,726,1173,1819.4,607.9,1211.5,122077.0773,
dominiccampbell,1709,536,1173,1850.7,767.7,1083,187287.9503,
garethbrown1,1636,464,1172,2635.9,567.6,2068.3,105237.5713,
AlvinCarpio,1710,540,1170,1717.3,582.3,1135,262657.5597,
EngCouncil,1881,713,1168,2720.3,1299.9,1420.4,47190.55212,
RIBAarchitect,1383,216,1167,2472.2,337.6,2134.6,130810.2955,
PadraigBelton,1728,562,1166,1551.8,467.1,1084.7,251971.2388,
