"","int_clus.from","int_intext","int_friends.weight","int_likes.weight","int_mentions.weight","int_retweets.weight","int_all.weight","int_friends.degree","int_likes.degree","int_mentions.degree","int_retweets.degree","int_all.degree","ext_intext","ext_friends.weight","ext_likes.weight","ext_mentions.weight","ext_retweets.weight","ext_all.weight","ext_friends.degree","ext_likes.degree","ext_mentions.degree","ext_retweets.degree","ext_all.degree","rat_friends.weight","rat_likes.weight","rat_mentions.weight","rat_retweets.weight","rat_all.weight","rat_friends.degree","rat_likes.degree","rat_mentions.degree","rat_retweets.degree","rat_all.degree","accounts","maxconnections","density"
"17",17,"internal",1429,6943,19672,19672,19672,1429,706,1622,1622,1622,"external",3930,4121,14899,14899,14899,3930,1259,4711,4711,4711,0.363613231552163,1.68478524629944,1.32035707094436,1.32035707094436,1.32035707094436,0.363613231552163,0.560762509928515,0.344300573126725,0.344300573126725,0.344300573126725,95,8930,0.181634938409854
"18",18,"internal",1247,5003,15447,15447,15447,1228,664,1336,1336,1336,"external",2081,2666,10098,10098,10098,2054,751,2498,2498,2498,0.599231138875541,1.87659414853713,1.52970885323826,1.52970885323826,1.52970885323826,0.597857838364168,0.884154460719041,0.534827862289832,0.534827862289832,0.534827862289832,78,6006,0.222444222444222
"19",19,"internal",810,2145,7247,7247,7247,810,452,1118,1118,1118,"external",478,1131,5047,5047,5047,478,272,678,678,678,1.69456066945607,1.89655172413793,1.43590251634634,1.43590251634634,1.43590251634634,1.69456066945607,1.66176470588235,1.64896755162242,1.64896755162242,1.64896755162242,139,19182,0.0582838077364196
"20",20,"internal",1268,2023,4367,4367,4367,1268,457,1336,1336,1336,"external",1708,2899,9581,9581,9581,1708,635,1922,1922,1922,0.742388758782201,0.69782683684029,0.455797933409874,0.455797933409874,0.455797933409874,0.742388758782201,0.719685039370079,0.695109261186264,0.695109261186264,0.695109261186264,80,6320,0.211392405063291
"21",21,"internal",870,3952,10621,10621,10621,870,629,1076,1076,1076,"external",2582,4671,16531,16531,16531,2582,1041,3222,3222,3222,0.336948102246321,0.846071505031043,0.642489867521626,0.642489867521626,0.642489867521626,0.336948102246321,0.604226705091258,0.333954065797641,0.333954065797641,0.333954065797641,78,6006,0.179154179154179
"22",22,"internal",873,3395,8897,8897,8897,873,446,962,962,962,"external",1790,2411,8114,8114,8114,1790,598,2165,2165,2165,0.487709497206704,1.40812940688511,1.09649987675622,1.09649987675622,1.09649987675622,0.487709497206704,0.745819397993311,0.444341801385681,0.444341801385681,0.444341801385681,61,3660,0.262841530054645
"23",23,"internal",532,1618,7294,7294,7294,532,258,606,606,606,"external",1998,3138,11390,11390,11390,1998,976,2733,2733,2733,0.266266266266266,0.515615041427661,0.640386303775241,0.640386303775241,0.640386303775241,0.266266266266266,0.264344262295082,0.221734357848518,0.221734357848518,0.221734357848518,68,4556,0.133011413520632
"24",24,"internal",940,2322,10266,10266,10266,940,487,1204,1204,1204,"external",1729,2623,10802,10802,10802,1729,547,2099,2099,2099,0.543666859456333,0.885245901639344,0.950379559340863,0.950379559340863,0.950379559340863,0.543666859456333,0.890310786106033,0.573606479275846,0.573606479275846,0.573606479275846,68,4556,0.264266900790167
"25",25,"internal",573,1591,5895,5895,5895,573,264,670,670,670,"external",1504,2288,7367,7367,7367,1504,761,2172,2172,2172,0.380984042553192,0.695367132867133,0.800190036649925,0.800190036649925,0.800190036649925,0.380984042553192,0.346911957950066,0.308471454880295,0.308471454880295,0.308471454880295,66,4290,0.156177156177156
"26",26,"internal",468,1016,2845,2845,2845,468,235,626,626,626,"external",405,1053,4511,4511,4511,405,219,595,595,595,1.15555555555556,0.964862298195632,0.630680558634449,0.630680558634449,0.630680558634449,1.15555555555556,1.07305936073059,1.05210084033613,1.05210084033613,1.05210084033613,55,2970,0.210774410774411
