"","Finchtyp","Finmhboi","watersys","instant","tank"
"8987","Central heating (wet with rads)","Condensing","dedicated boiler","None","Tank with Immersion Heater"
"9072","Central heating (wet with rads)","No boiler","with central heating","Single","Tank with Immersion Heater"
"9158","Central heating (wet with rads)","Standard","dedicated boiler","Single","Tank with Immersion Heater"
"9309","Central heating (wet with rads)","Condensing","instantaneous","Both","No Tank"
"9388","Electric ceiling/underfloor","No boiler","instantaneous","None","No Tank"
"9620","Central heating (wet with rads)","No boiler","instantaneous","Single","No Tank"
"9633","Warm air","No boiler","instantaneous","Multi","No Tank"
"9636","Communal/CHP","Condensing","with central heating","Single","Tank with Immersion Heater"
"9781","Warm air","Standard","instantaneous","Multi","No Tank"
"10163","Central heating (wet with rads)","Standard","dedicated boiler","None","Tank with Immersion Heater"
"10364","Electric ceiling/underfloor",NA,"electric immersion heater","None","Tank with Immersion Heater"
"10622","Central heating (wet with rads)","No boiler","with central heating","None","No Tank"
"11071","Warm air","Combination","instantaneous","Single","No Tank"
"11337",NA,NA,"dedicated boiler","Single","Tank with Immersion Heater"
"11440","Central heating (wet with rads)","No boiler","with central heating","Single","Tank without Immersion Heater"
"11491","Central heating (wet with rads)",NA,"with central heating","Single","Tank without Immersion Heater"
"11557","Communal/CHP",NA,"instantaneous","Multi","No Tank"
"11613","Central heating (wet with rads)","Back boiler","with central heating","Multi","Tank without Immersion Heater"
"11659","Storage heaters",NA,"electric immersion heater","Single","Tank with Immersion Heater"
"12348","Central heating (wet with rads)","No boiler","instantaneous","Multi","Tank without Immersion Heater"
