"archcode","ndwel","nsample","age.Q1","age.Q2","age.Q3","sap.Q1","sap.Q2","sap.Q3","windows.Q1","windows.Q2","windows.Q3","doors.Q1","doors.Q2","doors.Q3","floorarea.Q1","floorarea.Q2","floorarea.Q3","groundfloorarea.Q1","groundfloorarea.Q2","groundfloorarea.Q3","control.Q1","control.Q2","control.Q3","radcontrol.Q1","radcontrol.Q2","radcontrol.Q3","solararea.Q1","solararea.Q2","solararea.Q3","intwallarea.Q1","intwallarea.Q2","intwallarea.Q3","intwallarea.extwalls.Q1","intwallarea.extwalls.Q2","intwallarea.extwalls.Q3","intwallarea.extpartywalls.Q1","intwallarea.extpartywalls.Q2","intwallarea.extpartywalls.Q3","intwallarea.frontwall.Q1","intwallarea.frontwall.Q2","intwallarea.frontwall.Q3","extwallarea.Q1","extwallarea.Q2","extwallarea.Q3","extwallarea.front.Q1","extwallarea.front.Q2","extwallarea.front.Q3","extwallarea.exceptfront.Q1","extwallarea.exceptfront.Q2","extwallarea.exceptfront.Q3","extwindowarea.Q1","extwindowarea.Q2","extwindowarea.Q3","dpcperim.Q1","dpcperim.Q2","dpcperim.Q3","nfloors.Q1","nfloors.Q2","nfloors.Q3","roofareaplan.Q1","roofareaplan.Q2","roofareaplan.Q3","roofareaslope.Q1","roofareaslope.Q2","roofareaslope.Q3","ceilingground.Q1","ceilingground.Q2","ceilingground.Q3","ceilingfirst.Q1","ceilingfirst.Q2","ceilingfirst.Q3","imd.Q1","imd.Q2","imd.Q3","gasgrid.yes","tank.wellins","wallins","loftins","citycentre","otherurban","suburban","ruralres","villagecentre","rural","own","rent.private","rent.la","rent.rsl"
"C-A-A-A-A-B-D",3644,2,1959,1971,1971,53.21,56.21,56.21,5,11,11,2,2,4,78.91,78.91,80.89,39.455,39.455,40.445,0,0,0,0,0,0,19.7275,19.7275,20.2225,162.58,187.08,187.08,62.56,62.56,67.16,57.04,57.04,61.64,31.28,31.28,33.58,68.08,68.08,72.68,34.04,34.04,36.34,34.04,34.04,36.34,21.11,21.11,28.21,14.8,14.8,15.8,2,2,2,51.74,55.26,55.26,63.12,64.99,64.99,2.3,2.3,2.3,2.3,2.3,2.3,8,8,9,71.7,0,100,0,0,0,2612,1032,0,0,2612,0,0,1032
"G-D-B-A-A-D-A",3640,3,1874,1880,1913,51.56,69.12,71.66,4,4,6,1,2,3,41.36,48.95,62.39,41.36,48.95,62.39,5,5,5,1,1,2,10.34,12.2375,15.5975,97.38,110.88,135.47,15.715,26.9225,65.73,12.835,24.0425,62.85,7.8575,13.46125,32.865,18.595,29.8025,68.61,9.2975,14.90125,34.305,9.2975,14.90125,34.305,30.5,41.04,43.84,12,14.91,27.51,4,5,5,70.26,70.5,82.89,82.9,84.17,98.96,2.4,2.4,2.4,2.4,2.4,2.8,3,3,4,100,0,0,0,0,2641,999,0,0,0,0,2647,993,0
"H-B-A-A-A-A-G",3640,3,1958,1979,1990,37.82,59.39,63.07,3,3,7,1,1,1,34,34,57.48,34,34,57.48,2,5,9,0,2,2,8.5,8.5,14.37,82.98,91.92,156.98,120.82,142.946,142.946,117.94,140.066,140.066,60.41,71.473,71.473,123.7,145.826,145.826,61.85,72.913,72.913,61.85,72.913,72.913,60.8,182.83,216,51.6,60,60,2,4,5,191.23,193.7,193.7,229.72,236.31,236.31,2.4,2.4,2.4,2.4,2.4,2.4,3,4,4,100,0,0,0,0,1723,1917,0,0,0,0,0,1723,1917
"C-D-A-A-A-A-A",3633,4,1946,1952,1986,63.19,68.14,71.05,8,8,8,3,3,3,69.1,69.1,80.39,34.55,34.55,40.195,5,5,5,2,2,2,17.275,17.275,20.0975,150.81,151.31,197.28,77.664,77.664,77.97,71.904,71.904,72.45,38.832,38.832,38.985,83.424,83.424,83.49,41.712,41.712,41.745,41.712,41.712,41.745,19.97,22.04,24.94,17.38,17.38,18.15,2,2,2,47.64,47.64,65.17,56.03,56.03,75.2,2.3,2.4,2.4,2.3,2.38,2.38,3,3,5,100,0,0,12.6,0,0,3633,0,0,0,0,1375,1849,409
"G-D-A-A-A-A-A",3612,2,1968,1968,1968,68,68,68,6,6,6,1,1,1,62.84,62.84,62.84,62.84,62.84,62.84,5,5,5,2,2,2,15.71,15.71,15.71,127.53,127.53,127.53,77.245,77.245,77.245,74.365,74.365,74.365,38.6225,38.6225,38.6225,80.125,80.125,80.125,40.0625,40.0625,40.0625,40.0625,40.0625,40.0625,58.15,58.15,58.15,40,40,40,2,2,2,97.01,97.01,97.01,116.02,116.02,116.02,2.4,2.4,2.4,2.2,2.2,2.2,7,7,7,100,0,14.8,0,0,0,3612,0,0,0,3079,0,533,0
"G-B-B-A-A-D-G",3611,2,1880,1941,1941,44.38,47.99,47.99,3,3,5,1,1,2,47.04,70.44,70.44,47.04,70.44,70.44,9,9,9,1,2,2,11.76,17.61,17.61,88.28,118.85,118.85,23.855,33.3,33.3,20.975,30.3,30.3,11.9275,16.65,16.65,26.735,36.3,36.3,13.3675,18.15,18.15,13.3675,18.15,18.15,18.14,18.14,39.89,20.74,33,33,2,2,5,65.12,73.38,73.38,89.52,89.52,91.19,2.4,2.5,2.5,2.3,2.3,2.4,2,10,10,100,0,0,0,0,1093,2518,0,0,0,0,3611,0,0
"H-D-B-A-A-B-G",3608,1,1924,1924,1924,63.24,63.24,63.24,10,10,10,1,1,1,86.14,86.14,86.14,86.14,86.14,86.14,0,0,0,1,1,1,21.535,21.535,21.535,151.69,151.69,151.69,134.686,134.686,134.686,131.806,131.806,131.806,67.343,67.343,67.343,137.566,137.566,137.566,68.783,68.783,68.783,68.783,68.783,68.783,387.01,387.01,387.01,101.4,101.4,101.4,5,5,5,405.59,405.59,405.59,624.61,624.61,624.61,2.4,2.4,2.4,2.4,2.4,2.4,1,1,1,100,0,0,0,0,3608,0,0,0,0,0,3608,0,0
"A-A-A-B-A-A-D",3604,2,1953,1953,1953,53.59,53.59,53.59,11,11,11,1,1,1,149.41,149.41,149.41,49.8033333333333,49.8033333333333,49.8033333333333,0,0,0,0,0,0,16.4351,16.4351,16.4351,267.79,267.79,267.79,163.44,163.44,163.44,159.12,159.12,159.12,54.48,54.48,54.48,176.4,176.4,176.4,58.8,58.8,58.8,117.6,117.6,117.6,25.41,25.41,25.41,24.5,24.5,24.5,3,3,3,77.77,77.77,77.77,94,94,94,2.4,2.4,2.4,2.3,2.3,2.3,5,5,5,76.1,0,76.1,0,0,2744,0,860,0,0,2744,860,0,0
"C-A-A-C-B-A-C",3594,3,2003,2003,2003,64.13,77.01,77.01,9,28,28,2,2,2,89.04,224.92,224.92,44.52,56.23,56.23,5,5,5,1,2,2,44.52,56.23,56.23,183.25,394.26,394.26,57.84,162.24,162.24,52.08,150.72,150.72,28.92,81.12,81.12,63.6,173.76,173.76,31.8,86.88,86.88,31.8,86.88,86.88,26.28,67.01,67.01,13.25,18.1,18.1,2,4,4,52.7,90.85,90.85,52.7,92.24,92.24,2.4,2.4,2.4,2.4,2.4,2.4,6,6,6,100,0,57.2,0,0,2731,863,0,0,0,2054,677,0,863
"B-B-B-A-B-A-C",3593,2,1890,1921,1921,37.52,37.52,41.45,12,12,21,2,2,4,85.16,85.16,150.42,42.58,42.58,75.21,4,4,5,2,2,2,10.645,10.645,18.8025,202.85,202.85,278.53,132,132,273,132,132,273,33,33,68.25,144,144,285,36,36,71.25,108,108,213.75,24.79,24.79,51.17,28.8,28.8,57,2,2,2,57.52,57.52,127,70.18,70.18,154.95,2.5,2.5,2.5,2.3,2.4,2.4,8,8,9,100,0,0,0,0,0,0,3593,0,0,3593,0,0,0
