"archcode","ndwel","nsample","age.Q1","age.Q2","age.Q3","sap.Q1","sap.Q2","sap.Q3","windows.Q1","windows.Q2","windows.Q3","doors.Q1","doors.Q2","doors.Q3","floorarea.Q1","floorarea.Q2","floorarea.Q3","groundfloorarea.Q1","groundfloorarea.Q2","groundfloorarea.Q3","control.Q1","control.Q2","control.Q3","radcontrol.Q1","radcontrol.Q2","radcontrol.Q3","solararea.Q1","solararea.Q2","solararea.Q3","intwallarea.Q1","intwallarea.Q2","intwallarea.Q3","intwallarea.extwalls.Q1","intwallarea.extwalls.Q2","intwallarea.extwalls.Q3","intwallarea.extpartywalls.Q1","intwallarea.extpartywalls.Q2","intwallarea.extpartywalls.Q3","intwallarea.frontwall.Q1","intwallarea.frontwall.Q2","intwallarea.frontwall.Q3","extwallarea.Q1","extwallarea.Q2","extwallarea.Q3","extwallarea.front.Q1","extwallarea.front.Q2","extwallarea.front.Q3","extwallarea.exceptfront.Q1","extwallarea.exceptfront.Q2","extwallarea.exceptfront.Q3","extwindowarea.Q1","extwindowarea.Q2","extwindowarea.Q3","dpcperim.Q1","dpcperim.Q2","dpcperim.Q3","nfloors.Q1","nfloors.Q2","nfloors.Q3","roofareaplan.Q1","roofareaplan.Q2","roofareaplan.Q3","roofareaslope.Q1","roofareaslope.Q2","roofareaslope.Q3","ceilingground.Q1","ceilingground.Q2","ceilingground.Q3","ceilingfirst.Q1","ceilingfirst.Q2","ceilingfirst.Q3","imd.Q1","imd.Q2","imd.Q3","gasgrid.yes","tank.wellins","wallins","loftins","citycentre","otherurban","suburban","ruralres","villagecentre","rural","own","rent.private","rent.la","rent.rsl"
"A-A-A-A-A-A-A",1620874,1008,1955,1966,1981,62.89,66.4,69.77,8,9,12,2,2,3,67.8,77.56,88.36,33.645,38.51,43.505,5,5,5,2,2,2,11.83545,13.8237,17.275,159.62,175.58,200.81,81.12,91.68,106.8,78.24,88.8,103.8,27.04,30.56,35.6,89.76,100.4784,115.75,29.92,33.4928,38.5833333333333,59.84,66.9856,77.1666666666667,17.18,22.03,28.24,18.8,20.6,23.6,2,2,2,46.82,52.98,61.5,57.09,64.64,75.03,2.3,2.4,2.4,2.3,2.4,2.4,3,5,8,100,0,67.9,32.3,17707,152005,1317491,103787,27784,2100,1069375,242599,115224,193676
"A-A-A-A-A-A-B",1081875,629,1960,1973,1992,58.09,64.13,67.81,8,9,11,2,2,3,67.35,77.48,88.83,33.63,38.205,43.57,5,5,5,1,2,2,11.8767,14.00685,17.63685,159.32,175.67,200.8,80.04,89.24,103.5,77.28,86.4,100.74,26.68,29.7466666666667,34.5,88.32,97.76,112.128,29.44,32.5866666666667,37.376,58.88,65.1733333333333,74.752,16.84,21.3,27.57,18.7,20.2,23,2,2,2,46.28,52.14,61.32,56.46,63.6,74.64,2.3,2.4,2.4,2.3,2.33,2.4,4,7,9,100,0.6,59.8,29.7,9862,75530,869494,110770,14461,1758,713292,141138,74347,153098
"B-A-A-A-A-A-B",1029007,368,1973,1985,1998,58.9,63.94,68.17,11,14,17,2,3,4,102.43,123.54,154.34,51.215,61.77,77.17,5,5,5,1,2,2,12.80375,15.4425,19.2925,221.48,259.14,295.38,144.46,161.28,188.16,144.46,161.28,188.16,36.115,40.32,47.04,155.644,172.8,200.54,38.911,43.2,50.135,116.733,129.6,150.405,27.54,35.61,45.98,33,36.8,41.8,2,2,2,72.32,85.52,106.83,87.47,104.34,128.74,2.3,2.4,2.4,2.3,2.3,2.4,7,9,10,100,1.9,57.5,29.7,0,28865,695189,237700,59566,7687,946073,77243,3434,2257
"H-A-A-A-A-A-A",1004604,860,1963,1976,1994,68.45,72.65,75.52,4,5,6,1,1,2,45.03,53.49,61.42,45.03,53.49,61.42,5,5,5,2,2,2,11.2575,13.3725,15.355,92.5,117.16,129.87,54.18,79.5745833333334,118.213333333333,51.3,76.8925,115.453333333333,27.09,39.7872916666666,59.1066666666667,57.06,82.345,120.973333333333,28.53,41.1725,60.4866666666667,28.53,41.1725,60.4866666666667,29.82,53.04,90.32,25.51,39,57.12,2,2,3,74.98,143.28,207.42,91.47,173.95,253.07,2.4,2.4,2.4,2.4,2.4,2.4,2,4,6,100,0,58,11.1,41618,237710,666331,51392,7553,0,231201,212313,202988,358102
"F-A-A-A-A-A-A",727492,488,1957,1969,1979,61.83,65.43,68.25,5,7,10,2,2,3,50.82,61.78,78.89,50.82,61.78,78.89,5,5,5,2,2,2,12.705,15.445,19.7225,113.65,131.82,161.01,48.24,65.76,88.5,48.24,65.76,88.5,12.06,16.44,22.125,53.904,71.52,94.5,13.476,17.88,23.625,40.428,53.64,70.875,13.55,18.18,24.02,22.6,29.9,39.4,1,1,1,64.42,78.8,101.5,78.51,96.1,123.83,2.3,2.4,2.4,2.4,2.4,2.4,4,6,8,100,0,75.7,41.1,7996,36224,513525,99269,68837,1641,444845,49463,107959,125225
"A-A-B-A-A-A-A",697531,389,1925,1933,1939,58.92,63.02,66.42,9,11,14,2,2,3,68.72,80.64,93.94,34.345,40.32,46.97,5,5,5,2,2,2,12.19845,14.24115,17.53125,167.95,188.67,217.59,88.068,99.5,119.88,85.116,96.5,116.64,29.356,33.1666666666667,39.96,96.924,108.5,128.64,32.308,36.1666666666667,42.88,64.616,72.3333333333333,85.76,20.28,25.13,31.33,19.5,21.9,25.3,2,2,2,47.8,55.79,68.65,58.13,67.56,82.75,2.4,2.5,2.6,2.4,2.48,2.5,2,4,6,100,0,59,30.7,4186,93645,563065,29736,6899,0,489322,91861,61707,54641
"C-B-B-A-A-A-A",624033,308,1878,1906,1918,56.27,59.9,63.69,6,8,10,2,2,2,61.16,72.32,84.51,30.55,36.04,42.255,4,5,5,1,2,2,15.275,18.02,21.1275,166.68,191.59,219.26,52.8,64.86,78.5664,46.332,59.22,72.864,26.4,32.43,39.2832,58.56,71.208,84.9024,29.28,35.604,42.4512,29.28,35.604,42.4512,14.82,18.93,23.86,11.3,14.04,16.6,2,2,2,43.42,50.89,60.93,52.74,61.48,73.93,2.45,2.55,2.66,2.42,2.55,2.7,2,3,5,100,0,3.8,24.2,31437,296567,249286,24136,13257,9350,334330,220122,28002,41579
"C-A-A-A-A-A-A",602496,446,1961,1974,1987,66.35,69.3,71.72,7,8,9,2,2,3,63.19,71.81,80.74,31.54,35.355,39.965,5,5,5,2,2,2,15.77,17.6775,19.9825,151.66,165.61,178.86,44.16,56.12,70.702,38.64,50.6,65.124,22.08,28.06,35.351,49.776,62.1152,76.36,24.888,31.0576,38.18,24.888,31.0576,38.18,13.66,17.6,21.94,10.6,13,15.96,2,2,2,42.26,47.24,52.89,51.26,57.54,64.52,2.3,2.4,2.4,2.3,2.32,2.4,2,4,6,100,0,54,35.3,3741,71752,464976,49448,12579,0,301021,141164,61151,99160
"B-A-A-A-A-A-A",549953,193,1971,1980,1995,62.71,66.84,69.32,10,12,15,2,3,4,88.12,113.6,137.79,44.06,56.8,68.365,5,5,5,2,2,2,11.015,14.2,17.09125,199.64,238.07,278.98,139.84,154.176,177.56,139.84,154.176,177.56,34.96,38.544,44.39,150.88,165.6,188.6,37.72,41.4,47.15,113.16,124.2,141.45,24.8,33.17,42.4,32.2,35,39.4,2,2,2,64.96,79.14,97.71,78.83,95.49,119.26,2.3,2.4,2.4,2.3,2.4,2.4,6,8,9,100,0,64.6,25.5,0,17324,463953,57112,8861,2703,500400,46176,1220,2157
"A-B-B-A-A-A-A",527991,241,1904,1921,1933,48.42,53.85,56.9,8,11,14,2,2,3,70.72,80.94,97.66,35.325,40.38,48.83,4,5,5,2,2,2,14.2263,17.4725,20.745,173.37,202.27,230.6,91.5,102.96,122.2,88.5,99.84,119.08,30.5,34.32,40.7333333333333,100.5,111.8,131.56,33.5,37.2666666666667,43.8533333333333,67,74.5333333333333,87.7066666666667,19.68,25.27,31.09,19.5,22.43,25.76,2,2,2,51.36,58.56,69.41,62.03,70.68,83.77,2.4,2.5,2.61,2.4,2.5,2.6,3,5,7,100,0,2.2,27.8,4983,194078,262524,46618,16208,3580,389407,97068,23115,18401
"C-A-A-A-A-A-B",438650,289,1966,1981,1996,63.23,67.48,70.84,6,8,10,2,2,3,62.92,73.97,87.25,30.525,35.8333333333333,41.41,5,5,5,1,2,2,15.2625,17.865,20.705,151.57,165.69,192.89,40.32,55.2,66.7,34.56,48.852,60.7,20.16,27.6,33.35,46.08,61.248,72.7,23.04,30.624,36.35,23.04,30.624,36.35,13.08,17.8,20.82,9.6,11.8,14.65,2,2,2,41.08,47.93,54.14,50.12,58.18,66.17,2.3,2.34,2.4,2.3,2.3,2.4,3,6,8,100,1,49.8,25.9,2247,68228,307739,54478,5958,0,232761,82931,44252,78706
"H-A-A-A-A-A-D",427160,266,1979,1989,2001,63.7,69.2,73.59,3,5,6,1,1,2,39.37,47.44,54.37,39.37,47.44,54.37,0,0,0,0,0,0,9.8425,11.86,13.5925,87.55,101.76,117.54,65.58,105.43,169.15,62.7,102.67,166.27,32.79,52.715,84.575,68.46,108.19,172.03,34.23,54.095,86.015,34.23,54.095,86.015,38.41,84.09,142.12,31.4,49,76.8,2,3,3,122.66,173.7,332.06,149.64,211.92,405.11,2.31,2.4,2.4,2.4,2.4,2.4,2,5,7,94.4,1,41,5.8,27053,98926,277226,9911,12725,1319,154658,138686,21823,111993
"A-A-A-A-A-A-C",391413,226,1959,1973,1995,57.45,63.11,67.2,8,9,11,2,2,3,64.74,75.91,85.3,32.275,37.605,42.505,5,5,5,1,2,2,11.53845,13.4825,16.4083333333333,156.25,177.82,199.87,80.16,87.42,101.4,77.28,84.64,98.4,26.72,29.14,33.8,88.8,96,110.4,29.6,32,36.8,59.2,64,73.6,15.99,21.52,26.89,18.6,20.4,22.4,2,2,2,45.18,52.08,58.49,55.12,63.54,69.64,2.3,2.4,2.4,2.3,2.4,2.4,3,5,7,100,2.6,56.4,30.5,672,20159,335862,33427,1293,0,261199,64421,30323,35470
"F-A-A-A-A-A-B",378018,177,1957,1970,1983,54.38,60.07,65.14,6,8,10,2,2,3,56.16,66.81,87.9,56.16,66.81,87.9,5,5,5,1,2,2,14.04,16.7025,21.975,121.97,143.18,176.16,50.88,79.58,97.98,50.88,79.58,97.98,12.72,19.895,24.495,56.64,85.1,103.68,14.16,21.275,25.92,42.48,63.825,77.76,14.55,19.93,27.6,24.1,36.6,43.6,1,1,1,71.2,86.32,111.53,86.86,105.32,136.06,2.3,2.4,2.4,2.4,2.4,2.4,6,7,9,100,0,70.7,43.7,0,1673,242338,120175,10310,3522,316698,10572,18857,31891
"B-A-A-A-A-A-C",343654,116,1978,1990,2002,62.96,66.41,70.75,11,13,16,2,3,4,99.55,116.09,147.94,49.355,57.875,73.94,5,5,5,1,2,2,12.33875,14.46875,18.8125,217.45,251.73,299.96,142.6,163.2,189.12,142.6,163.2,189.12,35.65,40.8,47.28,154,174.72,200.64,38.5,43.68,50.16,115.5,131.04,150.48,26.69,34.66,44.94,32.6,36.71,42,2,2,2,70.24,83.95,105.68,85.13,102.43,127.76,2.3,2.4,2.4,2.3,2.38,2.4,7,9,10,100,2.2,62.6,38.4,0,5145,267757,60547,8219,1986,319381,21262,316,2695
"C-A-B-A-A-A-A",257242,152,1907,1925,1934,62.06,65.41,68.11,6,7,9,2,2,2,63.09,69.17,81.72,31.545,34.585,40.86,4,5,5,2,2,2,15.7725,17.2925,20.43,161.79,182.19,205.4,48.576,64.32,73.152,42.24,58.56,67.392,24.288,32.16,36.576,54.912,70.08,79.46,27.456,35.04,39.73,27.456,35.04,39.73,14.45,19.14,21.17,10.4,13.88,16.08,2,2,2,42.9,48.29,57.67,51.87,58.91,68.19,2.45,2.5,2.6,2.4,2.5,2.6,2,3,5,100,0,46,36.5,1939,78561,163892,11747,0,1103,153343,57828,26380,19691
"A-A-B-A-A-A-B",225751,110,1921,1928,1940,53.16,58.5,61.6,10,13,16,2,2,3,71.64,85.48,107.21,35.82,42.74,53.605,5,5,5,1,2,2,11.84205,14.43585,18.7044,174.54,194.02,248.1,87.84,103.024,133.4,84.96,100.204,130.4,29.28,34.3413333333333,44.4666666666667,96.928,111.484,142.4,32.3093333333333,37.1613333333333,47.4666666666667,64.6186666666667,74.3226666666667,94.9333333333333,20.09,25.41,33.56,20,22.4,28.2,2,2,2,49.38,60.54,76.95,60.52,73.86,89.34,2.4,2.49,2.5,2.4,2.44,2.5,4,6,8,100,1.9,52.4,30.1,0,27305,172485,20670,5291,0,173505,23793,15257,13196
"G-B-B-A-A-A-A",214445,89,1874,1897,1912,58.36,61.35,65.93,5,7,9,1,1,2,49.31,58.65,69.47,49.31,58.65,69.47,4,5,5,1,2,2,12.3275,14.6625,17.3675,109.54,129.67,154.26,28.9925,48.255,72.0633333333333,26.1125,45.375,69.1533333333333,14.49625,24.1275,36.0316666666667,31.8725,51.135,75.3033333333333,15.93625,25.5675,37.6516666666667,15.93625,25.5675,37.6516666666667,27.69,35.51,51.06,17.2,26.1,34.2,2,3,3,70.51,91.11,122.92,84.45,108.13,148.73,2.4,2.4,2.5,2.4,2.4,2.61,2,4,6,100,0,1,2.9,28566,111380,67987,4878,1634,0,65137,120422,4510,24376
"H-A-A-A-A-A-B",214301,155,1965,1972,1987,63.1,68.01,71.42,4,6,8,1,1,2,46.72,58.7,67.92,46.72,58.7,67.92,5,5,5,1,2,2,11.68,14.675,16.98,97.2,125.59,143.76,57.145,87.8675,118.76,54.29,84.9875,115.88,28.5725,43.93375,59.38,59.905,90.7475,121.64,29.9525,45.37375,60.82,29.9525,45.37375,60.82,32.75,68.64,104.35,28.1,43.5,60.09,2,3,3,80.63,139.1,226.4,98.96,169.7,276.22,2.4,2.4,2.4,2.4,2.4,2.4,3,5,8,100,1.4,55.1,6.6,1656,43222,150133,18085,1205,0,71479,67931,35445,39446
"A-B-B-A-A-A-B",206947,87,1919,1931,1937,42.77,47.84,54.68,9,12,17,2,2,3,69.47,82.48,98.65,34.735,41.24,49.325,5,5,5,1,2,2,13.1208,15.6453,19.465,173.06,203.59,227.06,91.02,103.632,120.9312,88.068,100.584,117.9672,30.34,34.544,40.3104,99.876,112.776,129.8232,33.292,37.592,43.2744,66.584,75.184,86.5488,21.43,25.97,33.67,20.3,22.3,26.28,2,2,2,50.85,58.59,68.29,60.78,70.41,82.62,2.4,2.46,2.54,2.4,2.4,2.5,4,6,8,100,0,3.1,30.5,0,37309,160530,9108,0,0,154213,34824,9790,8120
"A-A-A-B-A-A-A",205322,78,1956,1965,1972,63.74,68.2,70.97,9,11,12,2,2,3,82.96,98.83,116.78,35.79,41.48,50.27,5,5,5,2,2,2,12.2166,15.17835,20.4831,186.12,215.39,246.31,101.5,123,144.992,98.5,118.8,141.525,33.8333333333333,41,48.3306666666667,110.04,133.92,157.68,36.68,44.64,52.56,73.36,89.28,105.12,15.24,21.14,26.24,21.2,22.8,25.6,2,2,3,55.86,64,77.42,68.24,77.16,93.44,2.3,2.4,2.4,2.3,2.36,2.4,4,6,9,100,0,83.2,10.5,0,13927,166137,24435,823,0,191437,10474,636,2775
"B-A-A-A-A-A-E",189392,65,1974,1981,1996,45.98,54.06,59.33,14,17,19,2,3,5,118.84,148.45,194.46,59.42,74.225,97.23,5,5,5,2,2,2,14.855,18.55625,24.49125,241.84,290.67,334.69,156.48,194.12,220.8,156.48,194.12,220.8,39.12,48.53,55.2,168,205.16,232.32,42,51.29,58.08,126,153.87,174.24,28.66,37.95,51.59,35,41.6,48.2,2,2,2,80.78,104.9,132.76,98.54,127.97,161.97,2.3,2.4,2.4,2.3,2.4,2.4,6,7,9,14.9,0,59.8,32.3,0,0,28234,86162,43036,31960,181955,7437,0,0
"C-B-B-A-A-B-A",172866,75,1875,1905,1915,56.38,61.03,63.78,9,11,14,2,2,3,72.33,85.06,100.57,36.165,42.53,50.285,5,5,5,1,2,2,18.0825,21.265,25.1425,184.64,215.65,234.54,58.96,68.32,86.184,52.528,61.92,79.8,29.48,34.16,43.092,65.392,75.04,92.568,32.696,37.52,46.284,32.696,37.52,46.284,18.8,23.22,28.39,12.4,14.5,18.4,2,2,2,50.38,58.39,65.55,61.38,70.7,79.97,2.48,2.57,2.66,2.5,2.6,2.63,2,3,5,100,0,2.5,27.5,7330,98661,54231,11791,853,0,100224,64652,1347,6643
"C-B-B-B-A-A-A",168204,59,1888,1906,1917,54.39,60.43,64.8,8,10,14,2,2,3,77.89,102.12,122.79,26.8133333333333,34.5433333333333,40.93,5,5,5,2,2,2,12.09,15.6,20.0483333333333,221.98,266.24,297.91,73.5,105.4188,120.7068,65.32,96.1308,111.9228,36.75,52.7094,60.3534,82.5,114.7068,130.704,41.25,57.3534,65.352,41.25,57.3534,65.352,15.4,22.15,25.03,11.1,14.5,17.59,3,3,3,45.24,58.57,68.7,55.19,70.13,82.75,2.5,2.58,2.7,2.48,2.5,2.7,3,3,6,100,0,0,11.8,8411,63898,79433,7615,5798,3049,117990,47050,1259,1905
"B-A-A-B-A-A-B",158710,53,1969,1986,2004,60.05,66.81,72.06,14,19,25,2,4,5,134.94,158.41,191.51,50.7033333333333,59.4333333333333,87.705,5,5,5,2,2,2,12.6758333333333,17.87375,29.265,253.85,323.21,347.67,194,226.2,270.48,194,226.2,270.48,48.5,56.55,67.62,206,244.2,287.04,51.5,61.05,71.76,154.5,183.15,215.28,28.19,35.82,59.1,36.68,41.6,47.6,2,2,3,87.44,101.46,138.71,104.25,123.8,169.23,2.3,2.4,2.4,2.3,2.3,2.4,6,9,10,100,9.8,53.2,10.3,3996,0,84632,53490,14639,1953,157905,0,0,805
"C-A-A-A-A-A-C",157136,101,1966,1974,1988,61.84,66.54,70.84,7,8,10,2,2,3,65.03,74.35,88.15,32.24,35.655,42.055,4,5,5,1,2,2,15.87,17.66,21.0275,151.11,166.37,196.64,44.16,57.04,68.08,37.72,51.52,62.128,22.08,28.52,34.04,50.496,62.56,73.6,25.248,31.28,36.8,25.248,31.28,36.8,13.41,18.1,21.09,10.4,12.2,15,2,2,2,41.94,48.02,53.04,51.17,58.51,64.71,2.3,2.3,2.4,2.3,2.3,2.4,3,5,8,100,1,60.9,19.3,731,22653,113771,13630,6351,0,106262,21985,10738,18151
"A-B-B-B-A-A-A",151019,53,1895,1908,1924,46.6,54.68,60.02,9,13,18,2,2,3,84.16,106.46,158.36,29.915,35.4866666666667,52.7866666666667,5,5,5,2,2,2,11.7106,14.0266666666667,18.458,225.97,269.8,348.78,149.25,180.465,204.225,144.75,175.695,199.725,49.75,60.155,68.075,162.75,192.5,217.725,54.25,64.1666666666667,72.575,108.5,128.333333333333,145.15,18.99,30.03,48.49,21.54,25.4,30.2,3,3,3,53.24,64.98,86.48,63.45,78.54,105.5,2.5,2.55,2.65,2.47,2.5,2.6,3,6,9,100,0,3.8,20.2,0,38083,93833,19103,0,0,122641,25896,0,2482
"F-A-A-A-A-A-C",140261,69,1963,1974,1984,55.09,59.57,63.89,6,9,12,2,2,3,55.58,72.69,88.89,55.58,72.69,88.89,5,5,5,1,2,2,13.895,18.1725,22.2225,123.24,148.45,173.55,58,82.56,95.52,58,82.56,95.52,14.5,20.64,23.88,64,88.32,101.28,16,22.08,25.32,48,66.24,75.96,16.69,20.23,31.63,26,37.2,42.2,1,1,1,73.73,94.6,110.44,89.96,111.1,134.74,2.3,2.4,2.4,2.4,2.4,2.4,4,7,9,100,2.8,71.6,40.8,0,8634,98377,26157,7093,0,109774,5590,7658,17239
"A-A-A-A-A-B-A",139257,62,1951,1957,1965,61.99,65.2,67.99,9,12,16,2,2,4,74.77,81.49,90.29,37.385,40.745,45.145,4,5,5,1,2,2,12.66705,13.825,16.63365,172.31,187.96,203.77,86.4,94,114.72,83.52,91.18,111.84,28.8,31.3333333333333,38.24,95.04,102.46,123.36,31.68,34.1533333333333,41.12,63.36,68.3066666666667,82.24,18.66,25.56,30.74,20,21.54,25.5,2,2,2,51.25,56.34,65.4,62.53,68.67,78.01,2.3,2.4,2.4,2.3,2.3,2.4,3,5,7,100,0,77.7,25,2017,7418,118759,11063,0,0,113757,22606,1211,1683
"C-B-B-A-A-A-B",138953,59,1897,1918,1936,48.58,55.73,63.45,8,10,13,2,2,3,69.15,76.54,85.2,34.575,38.27,42.6,5,5,5,1,1,2,17.1675,19.135,21.3,175.95,195.78,220.31,53.04,70.784,81.34,46.8,64.064,75.46,26.52,35.392,40.67,58.968,76.788,87.22,29.484,38.394,43.61,29.484,38.394,43.61,17.85,19.44,28.61,11.4,14.68,17.25,2,2,2,45.26,56.66,61.76,54.88,65.32,74.12,2.4,2.5,2.54,2.4,2.48,2.55,3,5,7,100,0,1.7,13.7,19213,40273,70668,3937,4862,0,94928,32290,7753,3982
"H-A-A-C-B-A-A",138138,84,1966,1973,1985,64.85,70.56,76.84,5,6,8,1,1,2,53.63,60.03,70.36,53.63,60.03,70.36,5,5,5,2,2,2,53.63,60.03,70.36,109.55,132.94,150.8,82.5325,119.498,154.16,79.6525,116.618,151.28,41.26625,59.749,77.08,85.4125,122.378,157.04,42.70625,61.189,78.52,42.70625,61.189,78.52,78.34,117.66,185.77,41.4,57.92,74.2,3,4,4,152.1,188.5,381,152.1,188.5,381,2.4,2.4,2.4,2.4,2.4,2.4,1,4,6,100,0,49,0,18215,50111,64545,5267,0,0,51477,45041,27599,14021
"H-A-A-A-A-A-G",127959,128,1980,1986,2002,68.92,72.59,75.57,3,4,5,1,1,1,31.93,40.9,47.9,31.93,40.9,47.9,0,1,5,1,2,2,7.9825,10.2425,12.12,79.2,89.28,102.75,114.745,177.288,307.62,111.865,174.42,304.62,57.3725,88.644,153.81,117.625,180.156,310.62,58.8125,90.078,155.31,58.8125,90.078,155.31,71.28,159,266.18,61,88.08,149.6,2,3,3,248.94,483.46,1029.54,303.71,589.82,1256.03,2.4,2.4,2.4,2.4,2.4,2.4,1,3,5,92,2.3,46.7,10.2,4375,37196,76164,6748,3476,0,8832,13151,34617,71359
"B-A-A-B-A-A-A",124642,42,1952,1970,1980,59.7,63.31,69.25,12,15,19,2,3,4,111.03,124.83,173.04,49.45,59.075,84.06,5,5,5,2,2,2,14.1041666666667,20.7408333333333,24.3075,217.56,238.87,329.65,156.48,199.68,242.824,156.48,199.68,242.824,39.12,49.92,60.706,168,211.2,254.296,42,52.8,63.574,126,158.4,190.722,21.9,31.93,42.5,35,39.4,45.6,2,2,3,80.52,89.42,134.55,99.02,114.3,164.16,2.36,2.4,2.4,2.3,2.3,2.4,5,7,9,100,0,62,18.7,0,3994,71785,40654,3649,4560,113962,10680,0,0
"G-B-B-A-A-D-A",123009,57,1869,1883,1902,51.92,56.82,63.18,5,6,8,1,1,2,42.56,51.67,73.15,42.56,51.67,73.15,4,5,5,1,2,2,10.64,12.9175,18.2875,97.79,121.76,172.7,32.6566666666667,45.57,67.34,29.25,42.69,64.46,16.3283333333333,22.785,33.67,35.5366666666667,48.45,70.22,17.7683333333333,24.225,35.11,17.7683333333333,24.225,35.11,23.63,33.28,54.3,16.6,21.52,36,2,3,4,61.95,88.46,124.18,75.16,106.3,139.69,2.4,2.4,2.64,2.4,2.4,2.5,2,4,6,100,0,2.7,4.1,22622,75795,19925,4667,0,0,36211,65893,5518,15387
"A-A-B-A-A-B-A",113868,48,1923,1933,1939,56.76,60.25,63.9,11,14,16,2,3,4,72.44,80.42,93.84,36.22,40.21,46.92,4,5,5,2,2,2,12.5664,14.60415,16.3317,169.6,194.89,215.69,92.56,109.72,120.7288,89.44,106.6,117.9808,30.8533333333333,36.5733333333333,40.2429333333333,101.76,119.072,128.9728,33.92,39.6906666666667,42.9909333333333,67.84,79.3813333333333,85.9818666666667,22.25,26.56,34.18,20.1,23.6,26.5,2,2,2,50.63,59.66,68.78,61.23,71.63,83.91,2.4,2.5,2.6,2.4,2.5,2.5,3,5,7,100,0,46.3,23.7,0,15768,98100,0,0,0,94430,16975,1099,1364
"H-A-A-A-A-A-C",109162,83,1971,1982,1990,63.33,69.95,74.48,4,5,8,1,1,1,40.32,55.48,61.67,40.32,55.48,61.67,5,5,5,1,1,2,10.08,13.87,15.4175,94.12,117.14,126.8,63.3425,81.96,133.923333333333,60.4625,79.08,130.923333333333,31.67125,40.98,66.9616666666667,66.2225,84.84,136.923333333333,33.11125,42.42,68.4616666666667,33.11125,42.42,68.4616666666667,29.68,54.37,104.45,27,36.6,66.1,2,3,4,76.82,139.58,323.74,93.72,167.22,394.96,2.4,2.4,2.4,2.3,2.4,2.4,2,4,8,100,4.5,44,8.1,11342,16876,75654,5290,0,0,34343,28001,31069,15749
"A-B-B-A-A-B-A",109153,46,1901,1919,1929,44.86,49.88,55.11,9,14,18,2,2,4,73.23,84.08,109.19,36.615,42.04,52.93,4,5,5,2,2,2,12.63075,17.0725,21.4525,174.24,201.18,233.82,87,111.384,143.35,84,108.36,140.35,29,37.128,47.7833333333333,96,120.456,152.35,32,40.152,50.7833333333333,64,80.304,101.566666666667,18.84,27.34,34.34,19.7,23.9,29.6,2,2,2,50.82,60.28,76.4,60.87,73.54,93.19,2.4,2.5,2.6,2.4,2.5,2.6,3,5,7,100,0,3.4,16.7,1481,32063,63548,4376,7685,0,70086,31059,4132,3876
"A-A-A-A-A-B-B",108541,46,1953,1956,1971,53.54,60.31,64.82,9,11,13,2,2,3,75.53,82.13,100.48,37.765,41.065,50.24,4,5,5,1,1,2,13.1571,15.51495,17.9025,164.03,186.34,220.92,85.56,100.32,117.6,82.8,97.44,114.72,28.52,33.44,39.2,93.84,108.96,126.24,31.28,36.32,42.08,62.56,72.64,84.16,22.55,27.88,32.3,20.3,22.7,26.3,2,2,2,51.52,56.28,73.32,62.86,68.66,89.46,2.3,2.4,2.4,2.3,2.3,2.4,4,5,8,100,0,74.8,32.2,0,7896,90312,9636,0,697,90417,8423,5440,4261
"H-B-B-A-A-A-A",105089,62,1912,1927,1937,55.16,58.56,63.43,5,7,8,1,1,2,49.93,56.45,67.8,49.93,56.45,67.8,4,5,5,1,2,2,12.4825,14.1125,16.95,121.05,132.45,154.95,41.4,61.07,77.984,38.52,58.19,75.104,20.7,30.535,38.992,44.28,63.95,80.864,22.14,31.975,40.432,22.14,31.975,40.432,25.09,36.43,79.66,19.6,25.8,42.8,2,2,4,63.13,84.81,162.12,77.02,103.47,231.5,2.4,2.4,2.4,2.4,2.4,2.5,2,4,7,100,0,0.6,4.2,1685,45354,54442,0,3608,0,28375,41195,18705,16814
"A-C-A-A-A-A-A",104964,100,1950,1955,1961,55.34,61.7,69.35,8,9,11,2,2,3,69.8,77.54,83.57,34.9,38.77,41.785,4,5,5,2,2,2,12.3519,13.48545,14.2,162.4,175.69,190.99,85.56,89.28,97.98,82.8,86.4,95.22,28.52,29.76,32.66,93.84,97.92,106.26,31.28,32.64,35.42,62.56,65.28,70.84,18.6,21.82,24.13,19.7,20.6,21.94,2,2,2,46.64,52.12,55.75,57.36,63.51,68.02,2.4,2.4,2.4,2.3,2.4,2.4,2,3,4,100,0,35.4,37.3,0,14839,85196,3664,1265,0,54463,6979,26786,16736
"A-A-B-A-A-A-C",94415,55,1923,1933,1938,50.18,56.48,61.29,10,12,14,2,2,4,78.92,89.17,100.65,39.46,44.585,50.325,4,5,5,1,2,2,13.1208,14.72955,19.7604,175.45,203.53,224.92,99.36,108.48,130.14,96.6,105.6,126.9,33.12,36.16,43.38,107.64,117.192,139.74,35.88,39.064,46.58,71.76,78.128,93.16,21.4,28.08,37.9,22.6,24.3,27,2,2,2,57.56,62.59,77.22,67.92,74.61,94.21,2.4,2.45,2.55,2.4,2.4,2.53,3,5,7,100,0,50.6,18.1,0,14164,75435,3436,0,1380,83229,1660,6422,3104
