"","6","10","32","34","55","70","73","75","79","80","84","102","108","135","140","153"
"archcode",A-A-B-A-A-A-A,A-B-B-A-A-A-A,H-A-A-A-A-A-G,G-B-B-A-A-D-A,H-B-A-A-A-A-A,I-A-A-C-B-A-A,A-B-B-A-A-C-A,C-A-A-B-A-A-A,A-B-A-A-A-A-A,I-C-A-C-B-A-G,H-A-A-A-A-D-D,C-A-B-A-A-B-A,I-C-A-C-B-A-D,A-B-B-B-A-B-B,C-A-A-A-A-A-H,B-A-A-B-A-B-A
"intwallarea.frontwall.Q1",29.356,30.5,57.3725,16.3283333333333,36.5466666666667,67.5935714285714,36.18,32.4,29,67.8214285714286,39.9116666666667,31.9865,66.1615,69.44,33.84,52.664
"intwallarea.frontwall.Q2",33.1666666666667,34.32,88.644,22.785,53.9033333333333,73.9890909090909,40.4125333333333,39.708,31.8933333333333,89.64975,47.0083333333333,34.84,87.3481818181818,80.631,42.32,58.5
"intwallarea.frontwall.Q3",39.96,40.7333333333333,153.81,33.67,66.604,92.4721428571429,49.98,46.1205,36.6666666666667,111.044705882353,100.37625,36.4,112.085833333333,80.631,45.103,58.5
"extwallarea.Q1",96.924,100.5,117.625,35.5366666666667,75.9733333333333,138.067142857143,118.26,72,96,138.642857142857,82.7033333333333,69.901,135.203,223.44,76.32,221.792
"extwallarea.Q2",108.5,111.8,180.156,48.45,110.686666666667,150.858181818182,130.3456,88.056,103.96,182.1795,96.8966666666667,75.92,177.576363636364,256.2546,90.16,246
"extwallarea.Q3",128.64,131.56,310.62,70.22,136.172,187.824285714286,163.17,102.213,119,224.969411764706,203.6325,79.04,227.051666666667,256.959,95.726,246
"extwallarea.front.Q1",32.308,33.5,58.8125,17.7683333333333,37.9866666666667,69.0335714285714,39.42,36,32,69.3214285714286,41.3516666666667,34.9505,67.6015,74.48,38.16,55.448
"extwallarea.front.Q2",36.1666666666667,37.2666666666667,90.078,24.225,55.3433333333333,75.4290909090909,43.4485333333333,44.028,34.6533333333333,91.08975,48.4483333333333,37.96,88.7881818181818,85.4182,45.08,61.5
"extwallarea.front.Q3",42.88,43.8533333333333,155.31,35.11,68.086,93.9121428571429,54.39,51.1065,39.6666666666667,112.484705882353,101.81625,39.52,113.525833333333,85.653,47.863,61.5
"extwallarea.exceptfront.Q1",64.616,67,58.8125,17.7683333333333,37.9866666666667,69.0335714285714,78.84,36,64,69.3214285714286,41.3516666666667,34.9505,67.6015,148.96,38.16,166.344
"extwallarea.exceptfront.Q2",72.3333333333333,74.5333333333333,90.078,24.225,55.3433333333333,75.4290909090909,86.8970666666667,44.028,69.3066666666667,91.08975,48.4483333333333,37.96,88.7881818181818,170.8364,45.08,184.5
"extwallarea.exceptfront.Q3",85.76,87.7066666666667,155.31,35.11,68.086,93.9121428571429,108.78,51.1065,79.3333333333333,112.484705882353,101.81625,39.52,113.525833333333,171.306,47.863,184.5
"extwindowarea.Q1",20.28,19.68,71.28,23.63,56.45,342.65,21.01,10.87,14.74,483.48,38.52,18.92,488.38,31.19,15.96,39.66
"extwindowarea.Q2",25.13,25.27,159,33.28,97.41,350.57,27.88,16.54,25.01,913.74,61.87,20.88,775.2,41.68,16.86,39.66
"extwindowarea.Q3",31.33,31.09,266.18,54.3,156.68,602.51,33.68,23.68,27.82,1399.2,196.35,21.71,1500,41.68,25.6,44
"dpcperim.Q1",19.5,19.5,61,16.6,36.9,70.4,22.2,10.2,19.3,79,38,14.15,69.2,26.6,10.6,47.8
"dpcperim.Q2",21.9,22.43,88.08,21.52,52.28,79,25.4,12.23,22.2,89.6,43.8,14.6,92.6,30.7,19.6,49.2
"dpcperim.Q3",25.3,25.76,149.6,36,72.15,94.74,27.4,13.8,22.9,139.6,87,15.8,106,30.7,20.81,49.2
"nfloors.Q1",2,2,2,2,3,7,2,3,2,9,2,2,11,3,2,2
"nfloors.Q2",2,2,3,3,3,8,2,3,2,13,3,2,12,3,2,2
"nfloors.Q3",2,2,3,4,4,11,2,3,2,17,3,2,17,3,3,2
"roofareaplan.Q1",47.8,51.36,248.94,61.95,128.81,309.76,54.24,42.6,49.51,376.32,121.81,46.53,135.8,77.51,54.89,127.69
"roofareaplan.Q2",55.79,58.56,483.46,88.46,193.53,378.24,64.48,46.76,57.26,554.61,133.34,48.74,432.42,93.43,55.38,153.54
"roofareaplan.Q3",68.65,69.41,1029.54,124.18,291.05,559.5,76.75,49.43,65.74,814,453.58,51.52,681.1,93.43,69.99,153.54
"roofareaslope.Q1",58.13,62.03,303.71,75.16,157.14,309.76,66.18,51.62,60.41,376.32,148.61,56.28,135.8,87.6,66.96,146
"roofareaslope.Q2",67.56,70.68,589.82,106.3,236.1,378.24,77.04,58.19,68.43,554.61,162.67,59.46,432.42,113.99,67.56,173.81
"roofareaslope.Q3",82.75,83.77,1256.03,139.69,355.08,559.5,93.63,60.31,77.31,814,589.65,62.85,681.1,113.99,85.39,173.81
"ceilingground.Q1",2.4,2.4,2.4,2.4,2.4,2.4,2.38,2.37,2.4,2.4,2.4,2.47,2.4,2.59,2.3,2.32
"ceilingground.Q2",2.5,2.5,2.4,2.4,2.4,2.4,2.5,2.4,2.44,2.4,2.4,2.5,2.4,2.79,2.3,2.4
"ceilingground.Q3",2.6,2.61,2.4,2.64,2.4,2.4,2.74,2.4,2.5,2.4,2.4,2.6,2.4,2.79,2.3,2.5
"ceilingfirst.Q1",2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.4,2.47,2.3,2.3
"ceilingfirst.Q2",2.48,2.5,2.4,2.4,2.4,2.4,2.5,2.4,2.44,2.4,2.4,2.5,2.4,2.66,2.3,2.3
"ceilingfirst.Q3",2.5,2.6,2.4,2.5,2.4,2.4,2.7,2.4,2.5,2.4,2.4,2.6,2.4,2.66,2.4,2.3
"imd.Q1",2,3,1,2,2,1,3,3,3,1,4,2,1,6,3,7
"imd.Q2",4,5,3,4,3,3,7,6,5,2,5,4,1,6,5,7
"imd.Q3",6,7,5,6,6,5,9,8,8,2,7,7,2,9,5,10
"gasgrid.yes",100,100,92,100,100,100,100,100,100,100,93.1,100,100,100,100,100
"tank.wellins",0,0,2.3,0,0,0,0,0,0,0,10.9,0,0,0,0,0
"wallins",59,2.2,46.7,2.7,8.1,47.7,0,27.9,11.5,53.7,17.4,27,45.3,0,50.9,68.9
"loftins",30.7,27.8,10.2,4.1,4.7,0,13.4,18,7.9,0,0,45.7,0,0,13.9,0
"citycentre",4186,4983,4375,22622,1380,2894,0,5819,0,7887,0,0,9150,0,3441,0
"otherurban",93645,194078,37196,75795,42361,38591,14348,4764,13812,24070,3142,8284,11393,0,564,0
