type,dwage9x,count,countsamp,conf,GeneralType_old,Type_arch,GeneralType
Top Floor converted flat,pre 1850,35121,17,2065.941176,JA,J,J
Ground floor converted flat,1850 to 1899,148386,61,2432.557377,KA,K,K
Ground floor converted flat,1900 to 1918,91946,42,2189.190476,KC,K,K
Ground floor converted flat,1919 to 1944,45418,26,1746.846154,KD,K,K
Ground floor converted flat,1945 to 1964,9741,5,1948.2,KD,K,K
Ground floor converted flat,1965 to 1974,856,1,856,KD,K,K
Ground floor converted flat,pre 1850,20141,10,2014.1,KA,K,K
"Mid Floor purpose built flat, high rise",1900 to 1918,1986,2,993,LA,L,L
"Mid Floor purpose built flat, high rise",1919 to 1944,28695,12,2391.25,LA,L,L
"Mid Floor purpose built flat, high rise",1945 to 1964,65013,65,1000.2,LE,L,L
"Mid Floor purpose built flat, high rise",1965 to 1974,131816,124,1063.032258,LF,L,L
"Mid Floor purpose built flat, high rise",1975 to 1980,16668,11,1515.272727,LG,L,L
"Mid Floor purpose built flat, high rise",1981 to 1990,9082,6,1513.666667,LG,L,L
"Mid Floor purpose built flat, high rise",post 1990,117334,52,2256.423077,LI,L,L
"Mid Floor purpose built flat, high rise",pre 1850,1877,1,1877,LA,L,L
detached 3 floors,1850 to 1899,41519,12,3459.916667,MA,M,M
detached 3 floors,1900 to 1918,24173,11,2197.545455,MA,M,M
detached 3 floors,1919 to 1944,26302,10,2630.2,MA,M,M
detached 3 floors,1945 to 1964,18899,8,2362.375,MA,M,M
detached 3 floors,1965 to 1974,17747,3,5915.666667,MA,M,M
detached 3 floors,1975 to 1980,4925,2,2462.5,MA,M,M
detached 3 floors,1981 to 1990,17866,5,3573.2,MA,M,M
detached 3 floors,post 1990,96587,34,2840.794118,MI,M,M
detached 3 floors,pre 1850,29351,14,2096.5,MA,M,M
end terrace 3 floors,1850 to 1899,62048,26,2386.461538,NA,N,N
end terrace 3 floors,1900 to 1918,68668,27,2543.259259,NC,N,N
end terrace 3 floors,1919 to 1944,26976,11,2452.363636,ND,N,N
end terrace 3 floors,1945 to 1964,14213,6,2368.833333,ND,N,N
end terrace 3 floors,1965 to 1974,29074,10,2907.4,ND,N,N
end terrace 3 floors,1975 to 1980,8709,7,1244.142857,ND,N,N
end terrace 3 floors,1981 to 1990,8718,7,1245.428571,ND,N,N
end terrace 3 floors,post 1990,96454,45,2143.422222,NI,N,N
end terrace 3 floors,pre 1850,24951,8,3118.875,NA,N,N
"Ground floor purpose built flat, high rise",1850 to 1899,4370,1,4370,O,O,O
"Ground floor purpose built flat, high rise",1900 to 1918,385,1,385,O,O,O
"Ground floor purpose built flat, high rise",1919 to 1944,4623,1,4623,O,O,O
"Ground floor purpose built flat, high rise",1945 to 1964,20837,11,1894.272727,O,O,O
"Ground floor purpose built flat, high rise",1965 to 1974,22649,13,1742.230769,O,O,O
"Ground floor purpose built flat, high rise",post 1990,11459,4,2864.75,O,O,O
Mid Floor converted flat,1850 to 1899,110246,51,2161.686275,PA,P,P
Mid Floor converted flat,1900 to 1918,40621,24,1692.541667,PC,P,P
Mid Floor converted flat,1919 to 1944,5922,4,1480.5,PC,P,P
Mid Floor converted flat,1945 to 1964,7255,2,3627.5,PC,P,P
Mid Floor converted flat,1965 to 1974,1378,1,1378,PC,P,P
Mid Floor converted flat,pre 1850,20529,11,1866.272727,PA,P,P
semi detached 3 floors,1850 to 1899,86712,27,3211.555556,QA,Q,Q
semi detached 3 floors,1900 to 1918,106371,32,3324.09375,QC,Q,Q
semi detached 3 floors,1919 to 1944,106218,34,3124.058824,QD,Q,Q
semi detached 3 floors,1945 to 1964,68143,26,2620.884615,QE,Q,Q
semi detached 3 floors,1965 to 1974,14169,6,2361.5,QE,Q,Q
semi detached 3 floors,1975 to 1980,8350,3,2783.333333,QE,Q,Q
semi detached 3 floors,1981 to 1990,7191,3,2397,QE,Q,Q
semi detached 3 floors,post 1990,43393,23,1886.652174,QI,Q,Q
semi detached 3 floors,pre 1850,21355,8,2669.375,QA,Q,Q
"Top Floor purpose built flat, high rise",1850 to 1899,920,1,920,R,R,R
"Top Floor purpose built flat, high rise",1919 to 1944,2022,1,2022,R,R,R
"Top Floor purpose built flat, high rise",1945 to 1964,6769,10,676.9,R,R,R
"Top Floor purpose built flat, high rise",1965 to 1974,4583,6,763.8333333,R,R,R
"Top Floor purpose built flat, high rise",1975 to 1980,4576,4,1144,R,R,R
"Top Floor purpose built flat, high rise",1981 to 1990,6093,2,3046.5,R,R,R
"Top Floor purpose built flat, high rise",post 1990,18520,8,2315,R,R,R
mid terrace 4 floors,1850 to 1899,1596,1,1596,S,S,S
mid terrace 4 floors,1900 to 1918,1641,1,1641,S,S,S
mid terrace 4 floors,post 1990,3896,2,1948,S,S,S
mid terrace 4 floors,pre 1850,8288,3,2762.666667,S,S,S
Basement converted flat,1850 to 1899,50844,21,2421.142857,T,T,T
Basement converted flat,1900 to 1918,6994,2,3497,T,T,T
Basement converted flat,1919 to 1944,2741,2,1370.5,T,T,T
Basement converted flat,pre 1850,10095,4,2523.75,T,T,T
"Basement purpose built flat, low rise",1850 to 1899,6406,4,1601.5,U,U,U
"Basement purpose built flat, low rise",1965 to 1974,668,1,668,U,U,U
"Basement purpose built flat, low rise",post 1990,4376,3,1458.666667,U,U,U
Top Floor semi detached,1945 to 1964,3001,1,3001,ZZ,ZZ,ZZ
"purpose built flat, low rise 1 floors",1965 to 1974,766,1,766,ZZ,ZZ,ZZ
end terrace 4 floors,post 1990,822,1,822,ZZ,ZZ,ZZ
converted flat 2 floors,pre 1850,1102,1,1102,ZZ,ZZ,ZZ
