"","Finchtyp","mainfuel","watersys","tank","Finmhboi","count","countsamp","conf"
"118","Communal/CHP","community heating from CHP/waste heat","Instantaneous","No Tank","Standard",9626,9,1069.55555555556
"2320","Communal/CHP","community heating from CHP/waste heat","Instantaneous","No Tank","Condensing",1016,1,1016
"227","Communal/CHP","community heating from CHP/waste heat","Instantaneous","No Tank","No boiler",12356,11,1123.27272727273
"7020","Communal/CHP","community heating from CHP/waste heat","Instantaneous","Tank without Immersion Heater","Standard",771,1,771
"6903","Communal/CHP","community heating from CHP/waste heat","Instantaneous","Tank without Immersion Heater","No boiler",2641,3,880.333333333333
"1498","Communal/CHP","community heating from CHP/waste heat","With central heating","No Tank","Standard",18897,20,944.85
"1964","Communal/CHP","community heating from CHP/waste heat","With central heating","No Tank","Combination",2811,2,1405.5
"3703","Communal/CHP","community heating from CHP/waste heat","With central heating","No Tank","Condensing",1733,2,866.5
"3814","Communal/CHP","community heating from CHP/waste heat","With central heating","No Tank","Condensing combi",2366,2,1183
"228","Communal/CHP","community heating from CHP/waste heat","With central heating","No Tank","No boiler",60201,61,986.901639344262
"3145","Communal/CHP","community heating from CHP/waste heat","With central heating","Tank with Immersion Heater","Standard",2532,3,844
"198","Communal/CHP","community heating from CHP/waste heat","With central heating","Tank with Immersion Heater","No boiler",5071,5,1014.2
"657","Communal/CHP","community heating from CHP/waste heat","With central heating","Tank without Immersion Heater","Standard",13626,14,973.285714285714
"2250","Communal/CHP","community heating from CHP/waste heat","With central heating","Tank without Immersion Heater","Combination",824,1,824
"430","Communal/CHP","community heating from CHP/waste heat","With central heating","Tank without Immersion Heater","Condensing",6547,7,935.285714285714
"732","Communal/CHP","community heating from CHP/waste heat","With central heating","Tank without Immersion Heater","No boiler",24385,28,870.892857142857
"8753","Electric ceiling/underfloor","electricity","Dedicated boiler","Tank without Immersion Heater","No boiler",3302,1,3302
"717","Electric ceiling/underfloor","electricity","Electric immersion heater","Tank with Immersion Heater","No boiler",53249,33,1613.60606060606
"822","Electric ceiling/underfloor","electricity","Electric immersion heater","Tank without Immersion Heater","No boiler",6827,2,3413.5
"1712","No Answer","electricity","Dedicated boiler","No Tank","No boiler",16490,7,2355.71428571429
"4678","No Answer","electricity","Dedicated boiler","Tank with Immersion Heater","No boiler",15622,7,2231.71428571429
"8478","No Answer","electricity","Dedicated boiler","Tank without Immersion Heater","No boiler",1405,1,1405
"4884","No Answer","electricity","Electric immersion heater","No Tank","No boiler",1797,2,898.5
